date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000109,14744.2575,14888.4182,14653.0854,14719.4539,202232200,7266570463.0000,3,0.700463,1,0.228579,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000109,14741.6666,14818.0205,14544.2702,14762.2628,240090700,7775720076.0000,3,0.831592,1,0.290832,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000109,14779.8273,14880.3753,14611.6826,14656.6440,243682400,7968745880.0000,3,0.844032,1,-0.715465,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000109,14632.4328,14716.0378,14216.1158,14393.2166,251558100,7298282205.0000,3,0.871311,1,-1.797324,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000109,14433.5579,14665.8621,14433.5579,14496.2599,218128400,7159682078.0000,3,0.755272,1,0.715916,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000109,14503.7093,14654.1529,14362.9277,14556.7903,230594400,7593328179.0000,3,0.782509,1,0.417559,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000109,14574.0015,14821.7651,14490.9137,14783.0672,237273900,7010979377.0000,3,0.821564,1,1.554442,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000109,14855.7817,15098.8385,14707.6891,15076.5998,295449700,8842196865.0000,3,1.022908,1,1.985600,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000109,15197.9870,15231.7136,14713.3056,14807.5016,318846000,9854376785.0000,3,1.081892,1,-1.784873,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000109,14735.5528,14888.5127,14506.9743,14857.7120,301433200,9363832215.0000,3,1.043624,1,0.339088,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000109,14886.6478,14980.0694,14698.0241,14722.1298,355785000,9946332386.0000,3,1.231801,1,-0.912538,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000109,14665.1598,14952.2213,14630.9062,14847.1240,302649300,8843431682.0000,3,1.047834,1,0.849023,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000109,14823.4200,14846.3864,14426.0250,14527.4133,251809500,7462904369.0000,3,0.871816,1,-2.153351,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000109,14616.7779,14642.4531,14449.0280,14502.5093,215744100,6236952735.0000,3,0.746950,1,-0.171428,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000109,14260.7704,14488.1971,14195.1740,14333.6176,199093100,5909699168.0000,3,0.689301,1,-1.164569,0.000000,0.000000,0.000000,0.000000,0
