date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000111,8072.8648,8115.1033,7985.6637,8104.1979,275112400,8727942095.0000,3,1.265408,1,0.223574,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000111,8116.7931,8174.6209,8033.5850,8165.9606,256316800,8236121503.0000,3,1.178956,1,0.762107,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000111,8177.2307,8227.8256,8009.3182,8009.4935,271131400,8997268248.0000,3,1.247097,1,-1.916089,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000111,7986.0624,7987.2108,7691.4111,7861.6848,363061700,10825703328.0000,3,1.669940,1,-1.845419,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000111,7918.9170,7940.4432,7705.2039,7705.2039,334469200,9517587215.0000,3,1.538426,1,-1.990424,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000111,7741.5268,7870.6087,7688.1871,7801.5271,263561500,8018715359.0000,3,1.143599,1,1.250106,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000111,7819.1756,8043.3516,7795.0186,8034.4473,245239200,7632649885.0000,3,1.128003,1,2.985572,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000111,8037.9308,8095.2316,7976.8856,8069.5095,290693000,8641340395.0000,3,1.337073,1,0.436398,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000111,8170.3795,8247.7276,8123.8668,8179.1125,371971400,10632088997.0000,3,1.613993,1,1.358236,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000111,8143.3317,8256.8298,8070.0672,8237.3515,397807300,11300528867.0000,3,1.829654,1,0.712045,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000111,8270.4171,8310.1905,8083.2475,8085.3040,447809600,12597406741.0000,3,2.059632,1,-1.845830,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000111,8020.3976,8141.1644,7977.6187,8064.9152,339285400,9973849806.0000,3,1.560492,1,-0.252171,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000111,8058.8606,8164.6618,7955.4910,8023.9313,335253400,9649143093.0000,3,1.541947,1,-0.508175,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000111,8060.0913,8091.6171,7985.5699,7986.2708,290449000,9212278639.0000,3,1.335672,1,-0.469352,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000111,7842.9642,7904.3696,7778.5904,7801.8974,280359100,9083517052.0000,3,1.289272,1,-2.308629,0.000000,0.000000,0.000000,0.000000,0
