date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000122,2097.7272,2122.4717,2087.8884,2109.8524,698408700,16411206023.0000,3,1.643284,1,-0.124947,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000122,2119.3581,2153.8512,2092.5175,2152.5339,695120200,16503162611.0000,3,1.635434,1,2.022961,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000122,2148.7769,2173.1643,2137.0994,2157.1126,810167100,19320587577.0000,3,1.906092,1,0.212712,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000122,2137.6262,2152.5660,2091.6297,2123.5263,766822100,15475940914.0000,3,1.804113,1,-1.557003,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000122,2128.7862,2173.9919,2104.4962,2108.4671,743638900,15830380054.0000,3,1.748422,1,-0.709160,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000122,2105.2404,2139.6170,2078.2760,2138.1432,657942200,14731094581.0000,3,1.345577,1,1.407473,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000122,2134.5604,2192.9415,2132.9433,2192.2587,657465000,16263960036.0000,3,1.545812,1,2.530958,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000122,2198.2132,2246.2113,2177.0344,2236.2830,659426700,16868440145.0000,3,1.550425,1,2.008171,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000122,2270.1059,2277.8223,2220.6390,2244.7144,804336300,17801936230.0000,3,1.644972,1,0.377027,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000122,2240.0184,2282.4866,2202.7839,2279.0216,1023000400,21465069223.0000,3,2.405248,1,1.528355,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000122,2287.2766,2308.6516,2242.8244,2247.6091,1254569000,23270581418.0000,3,2.565757,1,-1.378333,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000122,2222.7024,2240.9586,2207.1508,2216.4950,899866600,16530840018.0000,3,2.115740,1,-1.384320,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000122,2212.7000,2217.3995,2126.0820,2150.0339,786725700,17017832628.0000,3,1.849726,1,-2.998477,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000122,2168.7923,2173.4497,2133.4496,2141.6469,682046300,12738222221.0000,3,1.603607,1,-0.390087,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000122,2092.8141,2122.2474,2076.5877,2114.0992,755445500,13788032053.0000,3,1.776181,1,-1.286286,0.000000,0.000000,0.000000,0.000000,0
