date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000131,2158.1115,2181.4900,2158.1115,2179.7203,524924900,10629549510.0000,3,1.379335,1,-0.166158,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000131,2177.7081,2213.0340,2162.9946,2212.6421,529285300,11499548585.0000,3,1.390703,1,1.510368,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000131,2210.4812,2210.5726,2162.5155,2164.3174,499010600,10631423241.0000,3,1.306613,1,-2.184027,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000131,2153.8424,2156.0052,2072.9184,2104.5032,576218000,11627668350.0000,3,1.508774,1,-2.763652,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000131,2105.6537,2115.1282,2061.7612,2062.3755,472447700,10828533702.0000,3,1.237061,1,-2.001788,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000131,2061.5120,2079.0351,2045.7923,2067.0999,462310800,10686873637.0000,3,1.210518,1,0.229076,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000131,2074.5804,2120.6340,2063.7995,2114.9347,416389800,9990363835.0000,3,1.090278,1,2.314102,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000131,2115.3862,2128.7959,2106.2744,2125.9441,365367400,9505926290.0000,3,0.956681,1,0.520555,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000131,2150.9630,2169.7420,2140.6877,2151.0777,492083900,12251780932.0000,3,1.288476,1,1.182232,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000131,2149.4080,2204.3971,2137.5346,2204.3971,487788900,10405684094.0000,3,1.277230,1,2.478730,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000131,2209.8839,2234.9313,2199.5132,2199.5132,624727200,13673915288.0000,3,1.635791,1,-0.221553,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000131,2188.3420,2217.4454,2176.5604,2201.6520,527098500,11263077926.0000,3,1.380159,1,0.097240,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000131,2202.2877,2215.2205,2169.5349,2187.6369,499103600,11752683877.0000,3,1.306743,1,-0.636572,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000131,2195.2907,2201.9006,2168.2505,2169.2678,397771500,9362812979.0000,3,1.041437,1,-0.839678,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000131,2142.8053,2167.2930,2139.0182,2148.7000,393990700,9449764692.0000,3,1.031539,1,-0.948145,0.000000,0.000000,0.000000,0.000000,0
