date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000134,853.1430,875.9371,847.8692,873.4433,2733369600,21953869742.0000,3,0.244400,1,2.029425,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000134,871.0324,878.0293,862.7687,864.9675,2312447100,19104806217.0000,3,0.206449,1,-0.970389,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000134,864.8917,883.2350,858.8467,875.8873,2440503100,21108496810.0000,3,0.217882,1,1.262452,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000134,872.4192,892.6591,870.7846,879.6085,2694570100,23052567967.0000,3,0.240563,1,0.424849,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000134,882.2659,909.8896,880.8026,906.7362,5177924500,38388111715.0000,3,0.462269,1,3.084065,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000134,906.8942,916.4475,892.3161,911.8077,3547541700,28124666844.0000,3,0.316713,1,0.559314,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000134,909.9102,911.9684,898.3722,910.9124,2708218600,20976026562.0000,3,0.241781,1,-0.098190,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000134,916.3497,928.2072,899.9312,909.4992,3679407200,28063124970.0000,3,0.328486,1,-0.155141,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000134,919.3927,935.9379,916.9778,924.4066,3523949800,28960423264.0000,3,0.314607,1,1.639078,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000134,922.5200,934.2106,916.8903,920.9077,2912362300,23435052902.0000,3,0.260007,1,-0.378502,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000134,918.8637,921.2236,908.7377,911.7622,3938696200,29766573787.0000,3,0.351635,1,-0.993096,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000134,910.3774,935.2088,910.3774,920.9375,3642887600,28515431187.0000,3,0.325226,1,1.006326,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000134,920.6255,921.3548,898.7830,904.0899,3120212200,24564864181.0000,3,0.278563,1,-1.829397,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000134,910.7680,924.6298,906.7564,919.4117,3372439800,25676855620.0000,3,0.301081,1,1.694721,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000134,909.5152,918.4402,886.5918,889.1176,3478011200,29565069130.0000,3,0.310506,1,-3.294944,0.000000,0.000000,0.000000,0.000000,0
