date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000136,10453.4750,10575.4522,10396.1130,10567.1878,4332314100,42245421455.0000,3,0.261690,1,0.914757,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000136,10573.9941,10623.7764,10546.0333,10609.8833,4030201600,42542402059.0000,3,0.243404,1,0.404038,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000136,10599.4403,10666.5236,10537.5938,10571.7909,5157113700,42055411070.0000,3,0.311464,1,-0.359028,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000136,10526.0759,10572.1762,10415.2263,10495.1914,4762098400,41001013341.0000,3,0.287607,1,-0.724565,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000136,10499.3734,10640.1381,10493.4328,10562.6457,6260786100,53692436715.0000,3,0.378120,1,0.642716,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000136,10562.2357,10672.5466,10534.5467,10667.7184,4785410800,48062004117.0000,3,0.283782,1,0.994757,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000136,10683.4853,10829.9140,10656.9794,10823.4559,4385791900,46772141610.0000,3,0.264463,1,1.459895,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000136,10839.4218,10962.5540,10829.2251,10936.1539,5471044100,53101741862.0000,3,0.329903,1,1.041239,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000136,11093.0413,11116.8748,10949.1896,10971.6705,7219576900,65088056612.0000,3,0.427469,1,0.324763,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000136,10943.7208,11087.1098,10906.8504,11079.8725,6304412500,57445553976.0000,3,0.380155,1,0.986194,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000136,11122.6482,11189.9029,11047.9221,11066.4906,10046439200,80017545804.0000,3,0.605799,1,-0.120777,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000136,11018.0668,11129.1431,10989.1299,11018.2836,8982594200,63892201918.0000,3,0.541649,1,-0.435612,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000136,11019.7763,11034.3064,10699.6996,10790.0022,7786440700,61038608394.0000,3,0.469521,1,-2.071842,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000136,10873.0603,10952.3029,10833.9814,10888.8240,8364024400,56466507638.0000,3,0.504294,1,0.915865,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000136,10699.2710,10813.8763,10652.8919,10672.0410,7761611400,58207160266.0000,3,0.467973,1,-1.990876,0.000000,0.000000,0.000000,0.000000,0
