date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000148,12363.2461,12476.9796,12342.0990,12458.8466,2620184900,83298757060.0000,3,0.303235,1,1.133402,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000148,12506.1283,12695.9635,12404.0574,12689.8825,2779483500,94945688963.0000,3,0.321669,1,1.854392,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000148,12671.9379,12798.9710,12637.4200,12686.0864,2789073700,95123165663.0000,3,0.322779,1,-0.029914,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000148,12615.4210,12705.6524,12423.6374,12556.6732,2910157400,104089327180.0000,3,0.336792,1,-1.020119,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000148,12629.6602,12863.0253,12583.9161,12726.4383,3132376500,94753358604.0000,3,0.362346,1,1.351991,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000148,12773.5920,12937.5458,12671.4710,12914.6215,2785024900,91063189548.0000,3,0.236923,1,1.478679,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000148,12952.7492,13217.9411,12886.4283,13198.4464,2808621700,91519555536.0000,3,0.324895,1,2.197702,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000148,13234.1712,13538.0402,13209.0122,13507.4869,3333702800,108358624011.0000,3,0.385634,1,2.341491,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000148,13700.2139,13735.7873,13210.4167,13278.3420,3662842000,130362163661.0000,3,0.311598,1,-1.696429,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000148,13217.5158,13306.3724,12971.8289,13278.2751,3304334300,113966937579.0000,3,0.382016,1,-0.000504,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000148,13298.2205,13298.2205,12740.8226,12742.2682,4337381300,131348765520.0000,3,0.501448,1,-4.036721,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000148,12595.4764,12809.5375,12595.4764,12662.5652,3340201500,101794664578.0000,3,0.386163,1,-0.625501,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000148,12677.2540,12697.0870,12140.3148,12267.1587,3136410700,113880576797.0000,3,0.362603,1,-3.122641,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000148,12374.7179,12392.5563,12196.2783,12256.7713,3179579400,104275230959.0000,3,0.367516,1,-0.084676,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000148,11983.8124,12134.0476,11900.3124,11965.8816,3251732400,106659090524.0000,3,0.375856,1,-2.373298,0.000000,0.000000,0.000000,0.000000,0
