date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000149,3276.2604,3307.6697,3251.4058,3303.0758,2568040400,23330069657.0000,3,0.203149,1,0.640455,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000149,3308.8637,3323.4405,3299.3548,3305.8086,2403986600,23911324904.0000,3,0.190171,1,0.082735,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000149,3305.7276,3317.6602,3279.8382,3301.2214,2256952600,21156706133.0000,3,0.178540,1,-0.138762,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000149,3289.6501,3301.4952,3267.8546,3290.8103,2360370900,21735856447.0000,3,0.186721,1,-0.315371,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000149,3290.5543,3352.2147,3288.2366,3337.1605,4184261500,30928793191.0000,3,0.331002,1,1.408474,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000149,3335.6166,3363.4543,3315.0205,3349.6125,3049442300,25784141180.0000,3,0.242925,1,0.373132,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000149,3343.9786,3352.7268,3324.2653,3351.7429,2631133600,22342622432.0000,3,0.208140,1,0.063601,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000149,3361.5619,3394.9147,3357.7262,3376.4498,3630622000,28578404563.0000,3,0.287204,1,0.737136,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000149,3425.7662,3465.7267,3425.7662,3447.4630,4129052400,32556137956.0000,3,0.328928,1,2.103191,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000149,3436.0017,3496.1262,3430.0159,3494.1237,3212985000,30875045053.0000,3,0.254166,1,1.353479,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000149,3497.1741,3547.8092,3480.2405,3509.5702,4884339200,42989635689.0000,3,0.389095,1,0.442071,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000149,3490.8633,3516.0623,3475.5714,3483.4733,4109531900,33404574409.0000,3,0.325089,1,-0.743592,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000149,3485.4961,3497.5538,3426.8335,3442.6729,3465061800,28966621283.0000,3,0.274107,1,-1.171256,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000149,3469.3255,3549.9995,3468.1547,3533.5682,4092979400,36882466258.0000,3,0.323779,1,2.640254,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000149,3483.1312,3513.9509,3456.2890,3458.5330,4018502800,34829464968.0000,3,0.317888,1,-2.123497,0.000000,0.000000,0.000000,0.000000,0
