date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000159,3786.6775,3822.1968,3776.8117,3821.2277,16577947300,270189963433.0000,3,0.557011,1,0.859871,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000159,3829.1644,3861.4280,3810.1306,3859.4842,16129900200,286291416073.0000,3,0.551382,1,1.001157,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000159,3856.2779,3878.7232,3834.0093,3850.4517,18714578500,309235264782.0000,3,0.639622,1,-0.234034,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000159,3835.2804,3867.5250,3797.9017,3840.4755,18396583200,314268210914.0000,3,0.628753,1,-0.259092,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000159,3853.3366,3885.0054,3836.7194,3840.7381,18917183600,302517436657.0000,3,0.644316,1,0.006838,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000159,3852.5943,3903.5531,3840.2370,3893.3331,16294318500,277359995157.0000,3,0.544993,1,1.369398,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000159,3903.9559,3974.1729,3888.3183,3973.7853,16065442400,283592047180.0000,3,0.546670,1,2.066409,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000159,3984.8553,4044.8115,3981.0281,4034.3482,16867910800,303511305948.0000,3,0.573974,1,1.524061,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000159,4112.1600,4122.8007,4037.0525,4052.0733,22690341300,378139833155.0000,3,0.758217,1,0.439355,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000159,4036.3231,4073.5304,3995.6151,4068.1557,23450517700,370924282698.0000,3,0.797908,1,0.396893,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000159,4081.2994,4084.9622,3982.2269,3982.2269,31634555000,452570008313.0000,3,1.076363,1,-2.112230,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000159,3950.1450,4021.8716,3950.1450,3978.1060,26074355400,359492810516.0000,3,0.887159,1,-0.103482,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000159,3981.0796,3990.2416,3851.9603,3890.4216,24091232200,370827171189.0000,3,0.819682,1,-2.204175,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000159,3930.5419,3948.1302,3897.0361,3916.7228,24653322000,340100890239.0000,3,0.838753,1,0.676050,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000159,3832.8951,3876.6982,3814.5847,3822.0405,22276325800,324127074781.0000,3,0.757882,1,-2.417386,0.000000,0.000000,0.000000,0.000000,0
