date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000160,1670.9329,1697.8180,1664.6947,1696.3165,3121518700,35157536703.0000,3,0.453723,1,1.591667,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000160,1700.5712,1716.4651,1694.8889,1714.5294,3038825200,35467943145.0000,3,0.441543,1,1.073673,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000160,1714.9706,1724.5835,1702.4567,1712.0251,4477805200,39208507088.0000,3,0.650132,1,-0.146063,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000160,1704.5986,1704.7220,1667.9212,1688.1234,3919506400,36855406696.0000,3,0.569072,1,-1.396107,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000160,1690.2396,1702.9509,1673.7946,1675.9531,3277622200,36076581902.0000,3,0.469249,1,-0.720937,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000160,1681.6944,1723.5778,1678.3870,1722.6258,3016541400,35367677739.0000,3,0.429028,1,2.784845,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000160,1732.4380,1771.3019,1727.3769,1771.3019,3411203500,38444732990.0000,3,0.488373,1,2.825692,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000160,1767.2307,1801.7089,1763.9062,1795.0686,3450535000,36945972515.0000,3,0.494004,1,1.341764,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000160,1852.9447,1860.1023,1825.9474,1833.9803,5461323100,49639726559.0000,3,0.776732,1,2.167700,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000160,1831.5079,1850.0075,1800.4445,1849.4704,6054207800,62438499733.0000,3,0.866625,1,0.844616,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000160,1872.0192,1903.2758,1863.2804,1863.8425,9095869800,79509282183.0000,3,1.302021,1,0.777093,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000160,1853.6030,1873.1245,1832.8091,1839.7431,7638427600,59204180100.0000,3,1.093397,1,-1.292996,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000160,1846.3569,1855.7667,1777.6374,1801.4093,6912892400,59767682541.0000,3,0.989541,1,-2.083650,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000160,1833.9125,1848.4817,1818.2698,1828.1978,7534182300,54599826936.0000,3,1.078475,1,1.487086,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000160,1779.3118,1805.5674,1775.3276,1779.2568,6363939100,48966896722.0000,3,0.910961,1,-2.677008,0.000000,0.000000,0.000000,0.000000,0
