date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000806,13358.6566,13564.9516,13351.8514,13556.0388,4454284956,140019660959.0000,3,0.345842,1,1.791205,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000806,13591.5888,13822.1474,13492.8413,13815.9024,4429207282,155046584819.0000,3,0.343659,1,1.916958,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000806,13798.8711,14000.9577,13774.5114,13866.0526,4447292108,160934001075.0000,3,0.344893,1,0.362989,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000806,13783.6810,13939.5585,13646.3783,13780.4411,4558486208,168578859115.0000,3,0.353517,1,-0.617418,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000806,13841.9660,14167.2130,13801.4102,13998.6706,5874903622,168667490796.0000,3,0.455607,1,1.583618,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000806,14056.6271,14223.4985,13931.7946,14222.6525,4749493829,151678753855.0000,3,0.368330,1,1.600023,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000806,14280.2233,14509.2168,14196.7365,14502.3336,4456352970,152175846567.0000,3,0.345596,1,1.966448,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000806,14587.3007,14969.0156,14580.8617,14934.7401,5303425268,188718922126.0000,3,0.411288,1,2.981634,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000806,15214.1873,15228.2411,14566.7091,14626.2202,5863815902,223602674053.0000,3,0.448367,1,-2.065787,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000806,14572.3430,14658.3982,14265.4198,14602.7232,5112300710,183734025497.0000,3,0.396466,1,-0.160650,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000806,14604.2574,14604.3109,13896.9909,13899.1437,6647201657,219908093845.0000,3,0.508074,1,-4.818139,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000806,13731.8561,14040.1361,13726.7121,13869.4871,5200300018,161614860968.0000,3,0.403290,1,-0.213370,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000806,13885.8589,13895.1232,13194.4276,13334.2047,5085441213,190557672476.0000,3,0.394383,1,-3.859425,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000806,13452.9363,13513.9713,13285.2765,13343.7587,5093054684,162779772919.0000,3,0.394973,1,0.071650,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000806,13041.6833,13255.1196,12917.7630,13045.1219,4987055339,163912983058.0000,3,0.386752,1,-2.238026,0.000000,0.000000,0.000000,0.000000,0
