date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000808,16352.8918,16669.6723,16308.1849,16637.7398,1217108400,55899996089.8000,3,1.242980,1,1.970655,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000808,16704.3542,16902.6182,16408.0336,16862.7739,1161453100,58707770701.9000,3,1.186183,1,1.352552,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000808,16847.6135,17200.7109,16757.4374,16957.2652,1224309900,62702532033.7000,3,1.250378,1,0.560354,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000808,16817.1872,17060.5840,16540.4725,16736.6068,1181093800,57036481000.0000,3,1.206175,1,-1.301262,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000808,16837.3160,17350.0041,16794.7913,17117.5258,1207555202,68620899608.0000,3,0.000000,1,2.275963,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000808,17160.3309,17456.5673,17035.5901,17454.5818,1226944876,66191484935.0000,3,1.252624,1,4.289848,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000808,17514.8934,17835.3485,17445.8504,17786.4453,1314099598,66942364897.0000,3,1.341602,1,1.901297,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000808,17816.1214,18289.0155,17621.9855,18220.2826,1497406793,77509599654.0000,3,1.528705,1,2.439146,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000808,18438.7079,18440.8121,17438.9962,17499.1611,1674721179,91472370502.0000,3,1.449291,1,-3.957795,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000808,17404.2609,17542.3784,17028.6208,17510.0691,1415936857,70286671702.0000,3,1.445532,1,0.062334,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000808,17494.6696,17494.6696,16791.0475,16791.0475,1649382299,79287313916.0000,3,1.427363,1,-4.106332,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000808,16592.3551,17004.5561,16573.7052,16751.0280,1372428868,62978368398.0000,3,1.401115,1,-0.238338,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000808,16756.5242,16780.9253,16015.8946,16151.0031,1455425127,72554368252.0000,3,1.485845,1,-3.582018,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000808,16274.8471,16396.3911,16075.9318,16139.0961,1187842222,56797375000.0000,3,1.212670,1,-0.073723,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000808,15832.1187,16182.6024,15665.0598,15898.4980,1269933723,61752324671.0000,3,1.296471,1,-1.490778,0.000000,0.000000,0.000000,0.000000,0
