date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000814,15417.6037,15745.3827,15378.4842,15718.8316,570689200,32429500397.0000,3,0.975471,1,1.953553,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000814,15778.5099,16044.7653,15532.3386,16020.3040,608249400,35392816763.9000,3,1.039732,1,1.917906,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000814,16002.6568,16395.4370,15990.6794,16161.0443,620248900,38744779779.8000,3,1.060244,1,0.878512,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000814,16021.6472,16257.4442,15741.9186,15955.7707,593595500,35273824953.3000,3,1.014683,1,-1.270175,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000814,16021.5250,16559.3896,15956.4327,16284.8072,655131600,42607564126.0000,3,1.119890,1,2.062179,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000814,16335.3268,16692.9173,16326.1852,16644.5192,678506200,42575613480.7000,3,1.159839,1,2.208881,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000814,16733.8070,17006.5627,16637.5648,16980.4921,673849800,42290636167.2000,3,1.151878,1,2.018520,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000814,16990.3289,17482.5097,16817.6479,17394.5286,844378600,50713682667.9000,3,1.443316,1,2.438307,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000814,17615.5612,17623.0728,16646.9110,16717.9576,934572200,59743208948.9000,3,1.512172,1,-3.889562,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000814,16615.7787,16752.2374,16232.5536,16610.5775,756844100,43992414143.2000,3,1.293692,1,-0.642304,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000814,16606.8450,16606.8450,15898.3077,15899.8340,824980500,48415237064.0000,3,1.334849,1,-4.278861,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000814,15738.6051,16144.5639,15725.0850,15945.9253,723828400,38341690990.5000,3,1.237257,1,0.289885,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000814,15959.5067,15975.4881,15236.1640,15371.4346,783257200,44478955704.3000,3,1.338838,1,-3.602743,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000814,15485.8434,15606.0304,15308.0986,15365.9697,646963100,36101934648.0000,3,1.105869,1,-0.035552,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000814,15082.7752,15491.7853,14955.4353,15235.8766,643658900,35357586925.1000,3,1.100213,1,-0.846631,0.000000,0.000000,0.000000,0.000000,0
