date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000841,14641.9552,14931.5086,14606.9762,14910.0803,864531700,33704189790.4000,3,1.043355,1,1.733804,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000841,14962.2347,15193.0496,14741.0258,15170.9893,854937200,35718013187.1000,3,1.031818,1,1.749883,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000841,15158.7840,15503.2221,15136.3612,15278.2196,902013500,39931743108.2000,3,1.088634,1,0.706812,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000841,15150.8812,15353.7035,14886.3447,15072.7314,910119600,37287054789.9000,3,1.098416,1,-1.344975,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000841,15142.4548,15602.3852,15092.5713,15349.9980,868815918,43293999989.0000,3,0.000000,1,1.839525,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000841,15394.4226,15723.7036,15389.8003,15660.9942,898982242,42586619933.0000,3,1.084982,1,3.902828,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000841,15746.6812,16009.6961,15661.2847,15980.2197,956899128,42998424444.0000,3,1.154881,1,2.038348,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000841,15990.2659,16460.6928,15838.1853,16380.2599,1142998455,51722706932.0000,3,1.379442,1,2.503346,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000841,16586.1200,16588.5882,15749.6362,15816.0176,1273820720,60487974789.0000,3,1.452590,1,-3.444648,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000841,15719.8121,15847.6319,15392.1935,15745.6910,1092652497,45901720656.0000,3,1.318681,1,-0.444654,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000841,15746.7720,15746.7720,15121.6900,15121.6900,1255519920,50501683387.0000,3,1.431721,1,-3.962995,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000841,14979.9056,15339.2209,14966.3768,15147.6003,1005511454,38957955204.0000,3,1.213514,1,0.171345,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000841,15163.4636,15176.1302,14523.4023,14648.2880,1068630286,45129736941.0000,3,1.289688,1,-3.296313,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000841,14753.6791,14858.0412,14587.2821,14641.6255,878143213,36899563305.0000,3,1.059798,1,-0.045483,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000841,14392.8379,14789.0048,14305.7678,14540.8132,925706020,37667967535.0000,3,1.117194,1,-0.688532,0.000000,0.000000,0.000000,0.000000,0
