date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000854,4716.5058,4819.0165,4687.2266,4813.8131,3365369600,37501832206.0000,3,1.319283,1,2.160592,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000854,4834.0565,4892.5369,4779.8135,4884.9009,3309270200,38287291934.0000,3,1.502286,1,1.476746,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000854,4867.6639,4966.7469,4852.9247,4884.7766,3679956400,42149231687.0000,3,1.442043,1,-0.002545,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000854,4867.8276,4918.6135,4766.4250,4829.0632,3843269900,43109172462.0000,3,1.506040,1,-1.140552,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000854,4839.1739,4877.5622,4679.4984,4683.7335,3270608000,39462997158.0000,3,1.281604,1,-3.009480,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000854,4694.9141,4846.4939,4683.2873,4828.1961,3120969000,35558978460.0000,3,1.415155,1,3.084347,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000854,4847.5570,4993.9996,4847.5570,4990.8177,3092955900,36779469092.0000,3,1.205954,1,3.368165,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000854,5014.5192,5102.1604,4967.4369,5090.5737,3336125800,38939169601.0000,3,1.300766,1,1.998791,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000854,5302.3052,5331.4663,5190.4459,5276.9510,5015104200,54039455235.0000,3,2.262466,1,3.661224,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000854,5281.3985,5346.8222,5166.9810,5346.2845,5919299400,61840322538.0000,3,2.670209,1,1.313893,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000854,5432.0468,5586.8603,5432.0468,5453.2337,8218149200,81019960156.0000,3,3.204096,1,2.000440,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000854,5421.5637,5494.7125,5383.0489,5411.2043,8081242200,72249205815.0000,3,3.150719,1,-0.770724,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000854,5398.2966,5437.2382,5212.8755,5260.7729,6341411800,61466394690.0000,3,2.472393,1,-2.779999,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000854,5371.6136,5387.9101,5242.6936,5259.3170,6092302100,56834548785.0000,3,2.375270,1,-0.027675,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000854,5080.8271,5180.2953,5052.0829,5078.8359,5295417000,48577557246.0000,3,2.064580,1,-3.431645,0.000000,0.000000,0.000000,0.000000,0
