date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000856,5894.7333,5956.1998,5845.1300,5913.3605,3216394600,42251341192.0000,3,1.342299,1,0.202287,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000856,5933.1498,5992.3793,5878.6418,5963.4902,2927001200,39921619424.0000,3,1.261519,1,0.847736,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000856,5994.1535,6014.3945,5907.0906,5907.4780,3361944900,44667478039.0000,3,1.402968,1,-0.939252,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000856,5891.8677,5947.3006,5792.7917,5869.0744,3355811700,43591923660.0000,3,1.400408,1,-0.650085,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000856,5883.2537,5931.1032,5795.3868,5802.6297,3144108100,42928154101.0000,3,1.260872,1,-1.132115,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000856,5798.3482,5864.3569,5723.7535,5848.4483,2689432600,36821213609.0000,3,1.112481,1,0.789618,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000856,5867.5766,6007.1283,5841.3222,5992.3877,2986711700,41632675549.0000,3,1.197752,1,2.461155,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000856,6005.7612,6057.0688,5932.4385,6031.1330,2688415300,39492990918.0000,3,1.078127,1,0.646575,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000856,6128.4688,6146.6493,5995.4649,6046.1228,3533750800,45345184055.0000,3,1.461588,1,0.248540,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000856,6017.0673,6101.9143,5961.6904,6099.1283,3495464800,42113867583.0000,3,1.445753,1,0.876686,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000856,6102.7625,6170.3576,5984.1830,5984.1830,4718897500,60323362754.0000,3,1.892073,1,-1.884618,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000856,5935.4511,6048.9091,5933.5782,5999.9361,3491590900,46960478039.0000,3,1.399977,1,0.263246,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000856,6017.8310,6046.7469,5832.5178,5904.6203,3671559400,49750266732.0000,3,1.472136,1,-1.588614,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000856,5945.8828,5951.8415,5833.8548,5849.9117,3145389900,39381852655.0000,3,1.261165,1,-0.926539,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000856,5724.7806,5791.7263,5713.0904,5732.1138,2892387600,36128752079.0000,3,1.159722,1,-2.013670,0.000000,0.000000,0.000000,0.000000,0
