date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000858,7504.8623,7589.8260,7492.3686,7564.1120,1467994300,19269501825.0000,3,2.040333,1,0.633791,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000858,7565.5642,7580.4005,7479.2640,7574.6868,1582536300,20778267246.0000,3,2.113687,1,0.139802,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000858,7566.2427,7569.5672,7342.3307,7343.7586,1834252600,25357059539.0000,3,2.549388,1,-3.048683,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000858,7318.1161,7320.3130,7089.7924,7243.3584,1824145200,25521500782.0000,3,2.535340,1,-1.367150,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000858,7237.2028,7290.5433,7049.7441,7049.7441,1429524000,19764933308.0000,3,1.986864,1,-2.672991,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000858,7072.1770,7186.1324,7028.2558,7117.4135,1164277100,15703588217.0000,3,1.555046,1,0.959884,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000858,7133.9637,7236.9883,7105.5850,7217.5423,1126702200,15160039152.0000,3,1.504860,1,1.406814,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000858,7228.3840,7275.4096,7181.7830,7252.9052,1338606900,16332899497.0000,3,1.856246,1,0.489958,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000858,7375.1716,7523.1261,7375.1716,7481.3073,1892197500,24977387003.0000,3,2.526428,1,3.149112,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000858,7474.0713,7681.0616,7445.3845,7675.1894,1894797800,24762304192.0000,3,2.529203,1,2.591554,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000858,7696.5873,7761.7716,7598.5558,7598.5558,2178264000,28917909626.0000,3,3.017838,1,-0.998459,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000858,7550.5247,7628.2314,7513.4680,7550.8324,1570833400,21209989245.0000,3,2.173557,1,-0.628059,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000858,7554.6802,7689.1490,7501.9372,7568.0245,1746861700,22510766142.0000,3,2.417127,1,0.227685,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000858,7614.6814,7623.7310,7438.8092,7459.4856,1423077800,18529270141.0000,3,1.969108,1,-1.434177,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000858,7346.1052,7471.2739,7344.1082,7402.7647,1408689100,18821822829.0000,3,1.949198,1,-0.760386,0.000000,0.000000,0.000000,0.000000,0
