date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000913,17482.8210,17885.2581,17446.6919,17854.1066,565891500,33175277861.1000,3,1.203718,1,2.237174,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000913,17942.1688,18263.1988,17670.5269,18227.7062,514827500,34136022458.6000,3,1.095042,1,2.092514,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000913,18198.9961,18682.5840,18173.3623,18389.8405,515314000,36764698860.7000,3,1.096077,1,0.889494,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000913,18217.0553,18491.2405,17943.1397,18167.5859,495946000,33991818577.7000,3,1.054881,1,-1.208573,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000913,18286.9168,18976.9107,18197.4055,18699.1352,562220300,43672234989.0000,3,1.195871,1,2.925811,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000913,18747.3854,19138.9470,18689.3075,19138.3447,595366000,42592363167.3000,3,1.282192,1,2.348823,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000913,19231.7040,19605.6705,19135.1289,19541.5661,627729900,42913361106.7000,3,1.335201,1,2.106877,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000913,19553.9989,20169.4697,19367.4344,20071.9604,727139100,50251131373.9000,3,1.546647,1,2.714185,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000913,20341.2074,20349.8373,19171.5643,19214.0763,826974600,59375974463.7000,3,1.780988,1,-4.274042,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000913,19099.4365,19293.4817,18639.7439,19192.2351,686018000,44636803870.9000,3,1.459181,1,-0.113673,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000913,19184.2016,19184.2016,18203.6967,18203.6967,754474700,49801090884.5000,3,1.624851,1,-5.150721,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000913,17961.1924,18441.3272,17935.9004,18123.2901,634432400,38580812245.8000,3,1.349457,1,-0.441705,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000913,18137.6521,18152.7737,17171.5797,17323.9672,737066200,47097099128.2000,3,1.567759,1,-4.410473,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000913,17456.3869,17625.6303,17265.5370,17343.7241,613987100,37821405176.4000,3,1.305969,1,0.114044,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000913,16963.0488,17408.8092,16749.6360,17074.7798,611333700,39101570504.4000,3,1.300313,1,-1.550672,0.000000,0.000000,0.000000,0.000000,0
