date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000914,6921.9622,7025.8820,6885.4453,7005.9945,4915892700,69332729556.8000,3,0.338469,1,1.250135,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000914,6989.8297,7023.7291,6932.3651,6968.4322,4702906900,72945668132.9000,3,0.323425,1,-0.536145,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000914,6960.1985,7032.2551,6884.4111,6975.2215,4594022700,71115606920.7000,3,0.315937,1,0.097429,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000914,6960.5742,7072.0849,6928.5315,6977.8417,5091553300,76784937253.1000,3,0.350153,1,0.037564,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000914,7001.3028,7118.9461,6980.7356,7080.7187,7038132900,80248707046.0000,3,0.483891,1,1.474338,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000914,7088.5613,7115.9482,6999.2986,7088.2754,5415090600,71167322744.2000,3,0.371725,1,0.106722,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000914,7083.7088,7133.1887,6998.7687,7128.9468,5063517300,72530339769.3000,3,0.348131,1,0.573784,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000914,7142.7988,7202.1777,7066.1723,7128.2781,5665972900,74840869980.2000,3,0.389550,1,-0.009380,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000914,7247.4210,7353.1576,7214.2644,7268.3264,6119541600,89304831893.6000,3,0.420081,1,1.964686,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000914,7236.3063,7341.4943,7209.6616,7315.0537,5479890400,78904836821.6000,3,0.376594,1,0.642889,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000914,7315.2782,7333.1657,7185.7953,7187.3392,7352249500,100158082522.1000,3,0.504484,1,-1.745913,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000914,7167.2917,7318.8882,7167.2917,7234.2127,6079487900,78503705871.3000,3,0.417800,1,0.652168,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000914,7229.2270,7270.2127,7079.5948,7149.5252,5691156500,77565979927.3000,3,0.391113,1,-1.170653,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000914,7207.0560,7377.5479,7165.9922,7315.5597,7446929800,106185328792.2000,3,0.511774,1,2.322315,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000914,7204.0473,7273.3270,7101.0220,7107.4703,6727042000,93753831331.6000,3,0.462302,1,-2.844477,0.000000,0.000000,0.000000,0.000000,0
