date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000922,4425.1869,4484.5748,4413.9326,4482.1023,4010564486,45677613490.0000,3,0.276433,1,1.139198,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000922,4485.9648,4513.8520,4481.6894,4512.3273,3931572247,49515646551.0000,3,0.270987,1,0.674349,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000922,4510.3738,4511.6565,4461.4909,4475.7413,3802421188,46265729276.0000,3,0.262085,1,-0.810801,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000922,4463.4552,4463.4552,4391.5900,4431.3025,3973665100,47908820565.0000,3,0.273888,1,-0.992881,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000922,4432.5980,4474.6922,4429.5442,4447.2495,5859754672,59238607595.0000,3,0.403888,1,0.359872,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000922,4454.1729,4501.0902,4442.0058,4492.1841,4608310571,49949906102.0000,3,0.316012,1,1.010391,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000922,4493.9070,4551.7572,4484.6613,4548.4678,4343195138,50420874868.0000,3,0.299359,1,1.252925,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000922,4559.3867,4588.4052,4546.7027,4581.2664,5068833110,53140995088.0000,3,0.349374,1,0.721091,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000922,4648.8502,4698.3608,4648.8502,4692.4479,6337384328,66750283030.0000,3,0.434581,1,2.426873,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000922,4685.9210,4776.3217,4676.3196,4774.4480,5226315672,58467444930.0000,3,0.360074,1,1.747491,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000922,4788.0887,4909.2514,4788.0887,4826.0832,7522188002,76657460036.0000,3,0.518251,1,1.081490,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000922,4815.1775,4828.9355,4777.8554,4789.9579,5812417998,60208730815.0000,3,0.400454,1,-0.748543,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000922,4789.7232,4810.3778,4709.7266,4737.7627,5198389404,56559666498.0000,3,0.358148,1,-1.089680,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000922,4777.5330,4833.6564,4764.6232,4805.2054,6753914435,72399083780.0000,3,0.465316,1,1.423514,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000922,4725.4134,4772.7788,4698.2580,4705.6248,6022143986,67564029166.0000,3,0.414900,1,-2.072348,0.000000,0.000000,0.000000,0.000000,0
