date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000934,6524.5577,6613.3404,6489.9176,6595.7521,6299447900,77609018191.4000,3,0.400932,1,1.094529,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000934,6580.5786,6611.6459,6528.0010,6560.3646,5937562800,80727054495.0000,3,0.377490,1,-0.536520,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000934,6552.0409,6616.7697,6481.6454,6561.8669,5782248900,78155022423.0000,3,0.367616,1,0.022900,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000934,6547.0535,6647.8046,6513.9833,6558.7671,6398073600,84851644115.2000,3,0.406766,1,-0.047240,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000934,6579.8492,6688.5322,6561.4153,6651.7062,8723030200,90390693114.0000,3,0.554406,1,1.417021,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000934,6658.2495,6683.6061,6576.8704,6657.4495,6762385200,79286675115.6000,3,0.430665,1,0.086343,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000934,6653.3797,6702.2236,6577.5901,6698.3305,6329530200,80254215283.4000,3,0.402283,1,0.614064,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000934,6710.0318,6765.0759,6641.7001,6697.2044,6841644400,82024561946.6000,3,0.434830,1,-0.016812,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000934,6806.1978,6904.5485,6776.7853,6827.4618,7619412900,98390298947.1000,3,0.485243,1,1.944952,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000934,6797.9578,6898.6264,6774.3348,6882.1874,7155497800,89028508963.5000,3,0.454596,1,0.801551,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000934,6881.7769,6906.2119,6769.5804,6769.5804,9443619700,113056971623.6000,3,0.601177,1,-1.636209,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000934,6750.0684,6886.6444,6750.0684,6808.0998,7412583400,86772820803.7000,3,0.470929,1,0.569007,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000934,6804.0943,6846.2050,6670.5139,6735.2582,7070056900,85739017036.4000,3,0.449168,1,-1.069926,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000934,6787.7260,6944.5940,6750.5057,6886.8630,9277172400,116873123054.0000,3,0.589388,1,2.250913,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000934,6783.2445,6847.7332,6691.2392,6696.3773,8322784600,103335111859.7000,3,0.528755,1,-2.765928,0.000000,0.000000,0.000000,0.000000,0
