date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000935,5750.8196,5803.9915,5719.9745,5796.1703,4039734700,75205477733.1000,3,2.138207,1,1.008976,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000935,5811.7838,5851.8420,5767.4945,5845.0700,4051462700,78969608734.0000,3,2.143550,1,0.843655,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000935,5840.6678,5840.6678,5644.8499,5647.9089,4675736000,91507812435.5000,3,2.465615,1,-3.373118,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000935,5620.6006,5640.0191,5453.1518,5590.4536,4970282200,100426609009.1000,3,2.620603,1,-1.017284,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000935,5594.8848,5605.1903,5464.9888,5464.9888,3804983500,71506193691.0000,3,2.006013,1,-2.244269,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000935,5483.2022,5572.7106,5454.7456,5511.5733,3205876800,65914287783.5000,3,1.755648,1,0.852417,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000935,5539.2063,5673.3188,5521.1421,5657.7354,3193762800,66713145968.8000,3,1.681563,1,2.651912,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000935,5678.4343,5795.4145,5652.6448,5785.4703,3391665900,72307406883.4000,3,1.785584,1,2.257704,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000935,5886.5812,5897.9387,5763.4039,5774.1460,4442230300,91301143592.4000,3,2.432221,1,-0.195737,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000935,5751.6433,5832.1233,5691.3534,5821.9032,4250096600,82364251333.3000,3,2.236583,1,0.827087,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000935,5826.3049,5842.2436,5696.3838,5696.5552,4977194100,92514384418.7000,3,2.619213,1,-2.153042,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000935,5647.4415,5747.1610,5637.8645,5688.0250,3918515500,70888167647.0000,3,2.061076,1,-0.149743,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000935,5697.7863,5756.5503,5575.1975,5636.1160,4376523000,86564575679.7000,3,2.301981,1,-0.912601,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000935,5667.4712,5675.2281,5559.7361,5567.6921,3412512700,65577145438.0000,3,1.794211,1,-1.214026,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000935,5449.2828,5539.9382,5446.2520,5478.7501,3381427300,65697729975.1000,3,1.777867,1,-1.597466,0.000000,0.000000,0.000000,0.000000,0
