date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000951,6655.4139,6873.3824,6611.2296,6846.6610,2735202383,25716078139.0000,3,0.241057,1,2.518902,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000951,6799.1106,6871.0785,6735.3507,6761.4588,2415647515,24899095995.0000,3,0.212575,1,-1.244434,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000951,6767.9230,6949.2497,6726.7071,6894.9106,2476855760,26038368834.0000,3,0.217961,1,1.973713,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000951,6850.5156,7034.1221,6838.5083,6920.3024,2599969355,26209523375.0000,3,0.228795,1,0.368269,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000951,6945.3535,7139.2445,6926.9338,7118.1851,4882091129,39488911097.0000,3,0.429620,1,2.859452,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000951,7121.6757,7182.7781,6989.9790,7157.7620,3363876769,29932599476.0000,3,0.294915,1,0.555997,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000951,7148.1788,7152.3026,7045.3175,7144.6036,2584816193,22462761448.0000,3,0.227462,1,-0.183834,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000951,7193.5192,7267.0350,7023.1967,7102.0878,3637469693,32238351323.0000,3,0.320094,1,-0.595076,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000951,7184.3714,7318.5170,7162.4798,7223.2136,3409835105,31604269955.0000,3,0.298944,1,1.705496,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000951,7200.5179,7291.5127,7145.7443,7177.7952,2734679169,24596833505.0000,3,0.240649,1,-0.628784,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000951,7165.0704,7167.0659,7021.6366,7053.5857,3861543234,33629464538.0000,3,0.339813,1,-1.730469,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000951,7048.4452,7249.6703,7048.1909,7125.1628,3592978926,32018721927.0000,3,0.316179,1,1.014762,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000951,7139.8370,7142.0796,6938.0021,6996.5101,3097936682,27561415673.0000,3,0.272616,1,-1.805611,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000951,7058.5654,7164.0494,7011.9532,7105.4791,3369599012,29285290480.0000,3,0.296522,1,1.557476,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000951,7018.0626,7089.2636,6815.7478,6839.4590,3436770194,32138561340.0000,3,0.302433,1,-3.743873,0.000000,0.000000,0.000000,0.000000,0
