date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000961,2658.4245,2681.1154,2627.1327,2678.5612,3176546418,37382754219.0000,3,0.657738,1,1.104980,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000961,2696.8747,2745.2741,2671.3661,2740.0261,3127469467,39120260345.0000,3,0.662287,1,2.294698,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000961,2724.7194,2806.4911,2711.9077,2761.1124,3711603086,44853997996.0000,3,0.785978,1,0.769566,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000961,2753.3826,2762.1467,2654.0135,2695.1045,3716893093,42691680502.0000,3,0.787103,1,-2.390627,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000961,2685.7010,2704.3812,2587.1224,2587.4696,3278961520,40274895537.0000,3,0.694352,1,-3.993719,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000961,2612.4281,2694.6268,2592.3806,2685.6993,3014513567,35616610568.0000,3,0.624174,1,3.796362,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000961,2718.3167,2811.3822,2716.3382,2804.6180,3438229884,39044060992.0000,3,0.726551,1,4.427849,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000961,2811.5115,2892.8529,2789.3997,2876.9548,3800245927,44916051867.0000,3,0.803051,1,2.579203,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000961,3068.1742,3081.6392,3033.7794,3078.0385,6381812768,65351155922.0000,3,1.318683,1,6.989463,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000961,3072.8673,3136.5726,3004.6055,3115.6656,6957645685,78166562031.0000,3,1.470257,1,1.222438,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000961,3204.2454,3366.5949,3204.2454,3259.2573,9074930445,102257170695.0000,3,1.875165,1,4.608701,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000961,3212.9308,3273.6889,3176.3013,3200.1528,8466824079,92204753609.0000,3,1.789011,1,-1.813435,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000961,3197.2021,3237.3366,3033.8419,3065.5675,6859783381,79777786666.0000,3,1.449449,1,-4.205590,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000961,3160.5149,3167.9598,3036.0125,3051.3918,5960954302,66728442526.0000,3,1.259518,1,-0.462417,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000961,2911.5924,2983.5398,2899.1518,2914.0867,5524471473,60069827530.0000,3,1.167289,1,-4.499753,0.000000,0.000000,0.000000,0.000000,0
