date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000969,6860.9050,6941.3837,6845.9412,6936.6572,9010511219,234406686508.0000,3,1.167167,1,1.346110,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000969,6967.8669,7111.0414,6933.1647,7108.9900,9184145314,261365745859.0000,3,1.187824,1,2.484378,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000969,7112.6331,7150.8634,7064.1835,7074.3370,9840528476,271840894924.0000,3,1.270819,1,-0.487453,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000969,7024.6227,7118.7185,6970.2534,7063.1584,9722460530,272441973089.0000,3,1.255502,1,-0.158016,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000969,7094.9976,7162.8289,7046.3865,7050.0390,8884778432,263315177311.0000,3,1.146758,1,-0.185744,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000969,7088.4897,7208.2480,7060.8865,7191.4572,8116221744,249884571857.0000,3,1.025460,1,2.005921,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000969,7225.9774,7388.0775,7198.6341,7388.0775,8595638396,258993070276.0000,3,1.105826,1,2.734081,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000969,7425.7906,7633.5201,7424.7256,7617.9083,8206409218,292440244647.0000,3,1.055687,1,3.110834,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000969,7755.4662,7764.6739,7412.9430,7438.2377,10386448850,349109114514.0000,3,1.308212,1,-2.358529,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000969,7389.2914,7459.3702,7233.5159,7443.9329,10448091081,300568055413.0000,3,1.343002,1,0.076567,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000969,7445.3332,7445.3332,7122.2381,7122.2381,12934413516,348033378753.0000,3,1.627387,1,-4.321570,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000969,7034.6893,7173.3521,7024.7252,7078.4712,10038793335,265220854840.0000,3,1.289975,1,-0.614510,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000969,7104.7341,7111.6646,6793.8389,6868.4580,10324897023,314657734999.0000,3,1.326633,1,-2.966929,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000969,6934.0259,6947.9708,6823.0083,6853.6501,9133646606,240651655422.0000,3,1.173547,1,-0.215593,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000969,6684.4898,6797.3446,6624.8167,6705.0856,8555260429,248740539093.0000,3,1.099229,1,-2.167670,0.000000,0.000000,0.000000,0.000000,0
