date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000971,3822.3050,3872.2415,3812.7117,3870.2470,6688614700,203203394908.4000,3,0.454757,1,1.347256,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000971,3875.5049,3927.6637,3856.6189,3925.9616,6723641200,231346868913.2000,3,0.457123,1,1.439562,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000971,3922.7555,3948.1057,3894.9616,3899.6953,7277710300,246469921224.9000,3,0.494791,1,-0.669041,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000971,3876.4557,3906.9139,3827.0969,3874.9592,7410251500,248405369093.8000,3,0.503796,1,-0.634309,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000971,3888.7371,3925.3424,3873.4967,3876.4651,8249782049,244619107102.0000,3,0.000000,1,0.038862,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000971,3896.4684,3952.1419,3874.8208,3943.7462,6701583764,228285773309.0000,3,0.455339,1,1.775167,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000971,3958.2547,4024.1833,3938.8020,4023.6382,6709184122,225251283766.0000,3,0.455852,1,2.025790,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000971,4037.0341,4126.1261,4030.5600,4115.5111,7233835713,255961062872.0000,3,0.491483,1,2.283329,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000971,4199.5146,4205.0449,4068.0447,4079.4238,9286136031,316337816719.0000,3,0.528295,1,-0.876861,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000971,4052.9925,4097.5070,4007.6825,4091.4242,7956260620,260565517943.0000,3,0.540524,1,0.294169,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000971,4096.1148,4096.1148,3972.5018,3972.5018,10551359143,313503100305.0000,3,0.600238,1,-2.906626,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000971,3935.3154,4006.7021,3932.5778,3958.8953,8076013381,232494661998.0000,3,0.548659,1,-0.342517,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000971,3965.1580,3971.9972,3823.3602,3862.4197,7990160797,280883933490.0000,3,0.542826,1,-2.436932,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000971,3899.6797,3924.5713,3863.4705,3881.0634,7957256667,236891533899.0000,3,0.540585,1,0.482695,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000971,3790.1038,3842.4234,3776.6156,3786.5856,7466454463,237258932394.0000,3,0.507242,1,-2.434328,0.000000,0.000000,0.000000,0.000000,0
