date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000974,6916.3797,7021.2249,6881.0821,6998.5552,5441112900,68970063382.0000,3,0.428226,1,1.177342,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000974,6977.7399,7010.3370,6914.7619,6952.3615,5097100400,72600459583.0000,3,0.401151,1,-0.660046,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000974,6942.4473,7031.7607,6876.9196,6968.5396,4973603600,71062679713.0000,3,0.391432,1,0.232699,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000974,6949.2374,7066.8652,6916.3120,6966.4636,5576972700,77263161269.0000,3,0.438918,1,-0.029791,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000974,6989.3822,7099.2704,6966.1160,7060.3016,7609818600,80232786331.0000,3,0.598723,1,1.346996,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000974,7064.6329,7095.1107,6972.2412,7065.4442,5832399000,70691200159.0000,3,0.458880,1,0.072838,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000974,7061.3584,7125.5594,6980.8759,7120.5197,5546231600,73170777335.0000,3,0.436365,1,0.779505,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000974,7136.6974,7193.4629,7053.9897,7117.0730,6116616700,75471220792.0000,3,0.481241,1,-0.048405,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000974,7238.2731,7333.3125,7198.4951,7239.0351,6402243700,87319776996.0000,3,0.503714,1,1.713655,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000974,7210.5948,7315.1026,7184.1418,7292.4102,5958520000,78572685412.0000,3,0.468571,1,0.737323,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000974,7293.5436,7316.0448,7153.5107,7153.5107,8044763800,100801405548.0000,3,0.632631,1,-1.904713,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000974,7136.3992,7299.4160,7136.2468,7203.4741,6306118100,76633305856.0000,3,0.495906,1,0.698446,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000974,7200.7532,7231.6288,7043.1566,7111.4817,5810630100,74265742465.0000,3,0.456941,1,-1.277056,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000974,7164.3874,7281.7906,7117.0547,7221.8251,6358455800,85491616249.0000,3,0.500022,1,1.551623,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000974,7115.0530,7185.5749,7003.7579,7011.8523,6131641700,78961564251.0000,3,0.482185,1,-2.907476,0.000000,0.000000,0.000000,0.000000,0
