date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000979,4559.2556,4637.7890,4527.7758,4632.2826,5501038938,74553133097.0000,3,1.029735,1,1.413702,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000979,4651.4225,4688.6838,4596.5943,4680.3589,5207488436,72195769238.0000,3,0.974785,1,1.037853,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000979,4661.7779,4795.1655,4643.8695,4740.2043,6304021484,87174975255.0000,3,1.180034,1,1.278650,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000979,4721.9081,4758.3671,4604.3387,4663.3901,5833134862,78805296371.0000,3,1.091890,1,-1.620483,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000979,4668.1884,4713.9772,4500.8111,4503.3891,5266382542,79232824428.0000,3,0.985790,1,-3.431002,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000979,4524.2958,4659.1474,4489.9049,4648.3335,4868898997,69523499459.0000,3,0.869821,1,3.218563,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000979,4671.0496,4799.9440,4669.9021,4792.8434,5115768672,72688038864.0000,3,0.955530,1,3.108854,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000979,4801.0407,4910.1534,4766.3796,4891.9686,5447049302,79362557928.0000,3,1.017338,1,2.068192,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000979,5118.0921,5154.5519,5058.2558,5152.6117,8401452675,105638647164.0000,3,1.498121,1,5.327980,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000979,5149.9142,5273.8887,5095.9784,5271.1517,9747301976,128603266775.0000,3,1.820444,1,2.300581,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000979,5374.0718,5588.2458,5374.0718,5442.5074,12735098895,164025379401.0000,3,2.378770,1,3.250821,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000979,5398.0413,5479.1042,5351.7000,5385.7450,11140149553,137759402513.0000,3,2.080121,1,-1.042946,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000979,5374.6138,5430.1888,5188.7155,5232.6018,9231709190,123694776033.0000,3,1.723747,1,-2.843491,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000979,5350.4437,5362.3402,5186.5030,5206.1721,7916739364,99412457043.0000,3,1.478203,1,-0.505097,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000979,5021.8822,5139.8305,5011.0606,5034.2232,7550786741,96288601440.0000,3,1.409870,1,-3.302789,0.000000,0.000000,0.000000,0.000000,0
