date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.000987,3715.9173,3800.8792,3695.3890,3800.1326,10553842800,124568580505.3000,3,1.720678,1,2.534195,0.000000,0.000000,0.000000,0.000000,0
2021-02-02,sh.000987,3815.7143,3877.3130,3773.6701,3876.1177,10336745100,131720504356.4000,3,1.685282,1,1.999538,0.000000,0.000000,0.000000,0.000000,0
2021-02-03,sh.000987,3860.0561,3930.7049,3837.5998,3871.2705,12651986800,142519166601.5000,3,2.062403,1,-0.125053,0.000000,0.000000,0.000000,0.000000,0
2021-02-04,sh.000987,3857.6088,3884.5789,3761.0956,3816.2413,11678653700,136278045755.4000,3,1.903738,1,-1.421476,0.000000,0.000000,0.000000,0.000000,0
2021-02-05,sh.000987,3818.7351,3831.2343,3682.9016,3685.0707,10269850200,128768578929.0000,3,1.673463,1,-3.437167,0.000000,0.000000,0.000000,0.000000,0
2021-02-08,sh.000987,3698.7994,3822.2599,3681.2008,3814.6675,9499673900,115218333159.9000,3,1.547583,1,3.516806,0.000000,0.000000,0.000000,0.000000,0
2021-02-09,sh.000987,3842.1722,3957.1422,3842.1722,3955.4155,9789089700,124344430424.7000,3,1.585078,1,3.689653,0.000000,0.000000,0.000000,0.000000,0
2021-02-10,sh.000987,3960.6337,4039.3085,3938.3077,4028.4925,10178658900,126696507327.3000,3,1.648140,1,1.847518,0.000000,0.000000,0.000000,0.000000,0
2021-02-18,sh.000987,4191.3305,4216.2834,4107.3954,4163.3647,14469220400,172999678514.8000,3,2.323411,1,3.347957,0.000000,0.000000,0.000000,0.000000,0
2021-02-19,sh.000987,4149.1820,4196.2551,4044.8469,4180.2516,16750809500,192914623639.8000,3,2.712244,1,0.405607,0.000000,0.000000,0.000000,0.000000,0
2021-02-22,sh.000987,4249.8253,4360.7331,4249.8253,4264.3041,24016026200,256897910631.8000,3,3.856307,1,2.010704,0.000000,0.000000,0.000000,0.000000,0
2021-02-23,sh.000987,4226.9031,4262.7344,4175.9045,4198.4672,22523619700,221220988023.9000,3,3.646738,1,-1.543907,0.000000,0.000000,0.000000,0.000000,0
2021-02-24,sh.000987,4198.3170,4230.3758,4029.0613,4065.1488,19675877000,208121992409.7000,3,3.185636,1,-3.175406,0.000000,0.000000,0.000000,0.000000,0
2021-02-25,sh.000987,4153.2568,4163.6043,4038.7505,4050.5131,18214516500,176766820340.5000,3,2.949034,1,-0.360029,0.000000,0.000000,0.000000,0.000000,0
2021-02-26,sh.000987,3921.0863,4008.2185,3913.4068,3934.8513,15960167000,157467956097.3000,3,2.584042,1,-2.855485,0.000000,0.000000,0.000000,0.000000,0
