date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600008,2.8400,2.8500,2.8100,2.8300,26637688,75231332.5600,3,0.362900,1,0.354600,15.726694,1.346808,1.198734,3.975523,0
2021-02-02,sh.600008,2.8200,2.8300,2.8000,2.8100,30244770,85017727.1900,3,0.412000,1,-0.706700,15.615552,1.337290,1.190262,3.947428,0
2021-02-03,sh.600008,2.8000,2.8100,2.7100,2.7200,66812894,183242257.7700,3,0.910200,1,-3.202800,15.115409,1.294458,1.152140,3.820998,0
2021-02-04,sh.600008,2.7100,2.7200,2.6600,2.6800,35580471,95546525.4800,3,0.484700,1,-1.470600,14.893124,1.275422,1.135197,3.764807,0
2021-02-05,sh.600008,2.6900,2.7300,2.6900,2.7100,22433422,60845294.5000,3,0.305600,1,1.119400,15.059838,1.289699,1.147904,3.806950,0
2021-02-08,sh.600008,2.7200,2.7500,2.7100,2.7200,23087957,63114035.9700,3,0.314500,1,0.369000,15.115409,1.294458,1.152140,3.820998,0
2021-02-09,sh.600008,2.7300,2.7600,2.7200,2.7500,18802482,51540036.6800,3,0.256100,1,1.102900,15.282123,1.308735,1.164848,3.863141,0
2021-02-10,sh.600008,2.7500,2.7500,2.7300,2.7400,19450912,53307066.6800,3,0.265000,1,-0.363600,15.226552,1.303976,1.160612,3.849093,0
2021-02-18,sh.600008,2.7600,2.7900,2.7600,2.7700,34495545,95508239.5400,3,0.469900,1,1.094900,15.393266,1.318253,1.173319,3.891237,0
2021-02-19,sh.600008,2.7700,2.8600,2.7600,2.8500,44703248,126006390.8500,3,0.609000,1,2.888100,15.837837,1.356326,1.207206,4.003619,0
2021-02-22,sh.600008,2.8600,2.9400,2.8500,2.8900,73453007,213616465.2800,3,1.000600,1,1.403500,16.060122,1.375362,1.224149,4.059810,0
2021-02-23,sh.600008,2.8900,2.9200,2.8600,2.8800,40813422,118036047.5800,3,0.556000,1,-0.346000,16.004551,1.370603,1.219913,4.045762,0
2021-02-24,sh.600008,2.8700,2.9000,2.8600,2.8900,33415350,96349114.4900,3,0.455200,1,0.347200,16.060122,1.375362,1.224149,4.059810,0
2021-02-25,sh.600008,2.9100,2.9500,2.9000,2.9300,40624717,118822715.8700,3,0.553400,1,1.384100,16.282408,1.394398,1.241092,4.116001,0
2021-02-26,sh.600008,2.9000,2.9500,2.8900,2.9300,48880380,142560817.1100,3,0.665900,1,0.000000,16.282408,1.394398,1.241092,4.116001,0
