date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600009,71.1000,71.1000,71.1000,71.1000,7840400,557452440.0000,3,0.717000,1,-10.000000,459.354820,4.606090,22.188174,-125.455360,0
2021-02-02,sh.600009,63.9900,63.9900,63.9900,63.9900,9398300,601397217.0000,3,0.859500,1,-10.000000,413.419338,4.145481,19.969357,-112.909824,0
2021-02-03,sh.600009,57.5900,60.4000,57.5900,59.3000,194257353,11307794338.1600,3,17.765100,1,-7.329300,383.118718,3.841647,18.505748,-104.634358,0
2021-02-04,sh.600009,57.0100,58.9800,56.5100,58.2100,76482099,4402426458.5300,3,6.994400,1,-1.838100,376.076569,3.771034,18.165592,-102.711062,0
2021-02-05,sh.600009,58.0000,59.8400,57.5000,58.3800,45308031,2654284296.3000,3,4.143500,1,0.292000,377.174886,3.782047,18.218644,-103.011025,0
2021-02-08,sh.600009,58.2800,58.2800,54.7000,55.3000,56015520,3125786324.8300,3,5.122700,1,-5.275800,357.275971,3.582514,17.257469,-97.576391,0
2021-02-09,sh.600009,55.4300,59.0700,54.8000,58.4800,46779613,2670034643.7400,3,4.278100,1,5.750500,377.820955,3.788525,18.249851,-103.187474,0
2021-02-10,sh.600009,58.3600,59.8400,57.0300,58.1800,46333004,2701866821.4600,3,4.237200,1,-0.513000,375.882749,3.769090,18.156230,-102.658127,0
2021-02-18,sh.600009,59.5000,61.5600,58.2000,60.5000,78498099,4721887425.5700,3,7.178800,1,3.987600,390.871542,3.919387,18.880232,-106.751748,0
2021-02-19,sh.600009,59.9000,61.0000,58.6900,60.9400,43299746,2599908814.1800,3,3.959800,1,0.727300,393.714244,3.947892,19.017543,-107.528124,0
2021-02-22,sh.600009,60.5000,63.0000,59.5000,60.9100,49636305,3032716941.1300,3,4.539300,1,-0.049200,393.520423,3.945949,19.008181,-107.475189,0
2021-02-23,sh.600009,60.9100,61.5900,59.7000,60.0900,33053656,2000208267.1700,3,3.022800,1,-1.346200,388.222660,3.892826,18.752284,-106.028306,0
2021-02-24,sh.600009,60.5000,61.9900,60.1200,60.9500,35861567,2191805055.0700,3,3.279600,1,1.431200,393.778851,3.948540,19.020664,-107.545769,0
2021-02-25,sh.600009,61.5500,64.2900,61.2300,63.0400,40075928,2523389077.4400,3,3.665000,1,3.429000,407.281686,4.083937,19.672890,-111.233557,0
2021-02-26,sh.600009,61.4900,63.9400,61.0500,61.8800,29662556,1847366080.8500,3,2.712700,1,-1.840100,399.787289,4.008788,19.310889,-109.186746,0
