date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600019,6.5400,6.6400,6.4500,6.5800,99778633,653434657.8800,3,0.449200,1,0.304900,13.009989,0.813000,0.532588,-50.065588,0
2021-02-02,sh.600019,6.5400,6.5900,6.3600,6.5100,119884282,774966367.1100,3,0.539700,1,-1.063800,12.871585,0.804351,0.526922,-49.532975,0
2021-02-03,sh.600019,6.4700,6.7200,6.3900,6.6500,123978416,817894997.5900,3,0.558200,1,2.150500,13.148393,0.821648,0.538254,-50.598201,0
2021-02-04,sh.600019,6.5900,6.6800,6.3900,6.6500,139720909,911741756.4600,3,0.629000,1,0.000000,13.148393,0.821648,0.538254,-50.598201,0
2021-02-05,sh.600019,6.6400,6.8200,6.5900,6.6700,102763116,689781141.4000,3,0.462600,1,0.300800,13.187937,0.824120,0.539872,-50.750376,0
2021-02-08,sh.600019,6.6800,6.8500,6.6200,6.8400,127948935,866299757.8200,3,0.576000,1,2.548700,13.524061,0.845124,0.553632,-52.043864,0
2021-02-09,sh.600019,6.8000,6.9700,6.7500,6.9300,116681285,805495533.8800,3,0.525300,1,1.315800,13.702009,0.856244,0.560917,-52.728651,0
2021-02-10,sh.600019,6.9100,6.9200,6.7200,6.8100,164014430,1115368422.3800,3,0.738400,1,-1.731600,13.464745,0.841417,0.551204,-51.815601,0
2021-02-18,sh.600019,7.0000,7.2400,6.9900,7.1500,205883231,1460968748.8600,3,0.926900,1,4.992700,14.136994,0.883427,0.578724,-54.402577,0
2021-02-19,sh.600019,7.0800,7.2800,7.0500,7.2800,154136257,1108851396.3000,3,0.693900,1,1.818200,14.394030,0.899489,0.589246,-55.391714,0
2021-02-22,sh.600019,7.4500,8.0100,7.3800,8.0000,429221728,3380377237.1600,3,1.932400,1,9.890100,15.817615,0.988449,0.647523,-60.870016,0
2021-02-23,sh.600019,8.0900,8.1600,7.8400,7.9400,272749568,2180775498.1900,3,1.227900,1,-0.750000,15.698983,0.981036,0.642667,-60.413491,0
2021-02-24,sh.600019,7.9100,7.9600,7.4800,7.5400,232058521,1776868478.8900,3,1.044700,1,-5.037800,14.908103,0.931613,0.610291,-57.369990,0
2021-02-25,sh.600019,7.6700,7.9000,7.6600,7.7500,216304190,1683984574.5500,3,0.973800,1,2.785100,15.323315,0.957560,0.627288,-58.967828,0
2021-02-26,sh.600019,7.4700,7.7200,7.3900,7.5200,180962496,1364705692.4300,3,0.814700,1,-2.967700,14.868559,0.929142,0.608672,-57.217815,0
