date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600020,3.0900,3.1000,3.0400,3.0600,6069034,18609122.0000,3,0.270100,1,-0.970900,26.434683,0.668309,1.359441,-11.419146,0
2021-02-02,sh.600020,3.0500,3.0900,3.0400,3.0700,3921810,12032461.7000,3,0.174500,1,0.326800,26.521071,0.670493,1.363883,-11.456463,0
2021-02-03,sh.600020,3.0600,3.0700,3.0300,3.0500,3714841,11309784.9200,3,0.165300,1,-0.651500,26.348295,0.666125,1.354998,-11.381828,0
2021-02-04,sh.600020,3.0500,3.0500,2.9700,3.0000,6252569,18789245.1700,3,0.278200,1,-1.639300,25.916356,0.655205,1.332785,-11.195241,0
2021-02-05,sh.600020,3.0100,3.0600,3.0100,3.0500,5367681,16280923.6500,3,0.238800,1,1.666700,26.348295,0.666125,1.354998,-11.381828,0
2021-02-08,sh.600020,3.0400,3.0900,3.0300,3.0800,3710104,11393834.3200,3,0.165100,1,0.983600,26.607458,0.672677,1.368326,-11.493781,0
2021-02-09,sh.600020,3.0800,3.1100,3.0500,3.0900,2810927,8663227.4300,3,0.125100,1,0.324700,26.693846,0.674861,1.372768,-11.531098,0
2021-02-10,sh.600020,3.1000,3.1200,3.0800,3.1100,3255752,10096149.3500,3,0.144900,1,0.647200,26.866622,0.679229,1.381654,-11.605733,0
2021-02-18,sh.600020,3.1200,3.1500,3.1200,3.1500,5255810,16506591.4000,3,0.233900,1,1.286200,27.212173,0.687965,1.399424,-11.755003,0
2021-02-19,sh.600020,3.1400,3.2200,3.1400,3.2200,7246723,23129049.0600,3,0.322500,1,2.222200,27.816888,0.703253,1.430522,-12.016225,0
2021-02-22,sh.600020,3.2300,3.3200,3.2200,3.2300,13019506,42496408.3900,3,0.579300,1,0.310600,27.903276,0.705437,1.434965,-12.053543,0
2021-02-23,sh.600020,3.2300,3.2600,3.2000,3.2400,7122881,23023664.9100,3,0.316900,1,0.309600,27.989664,0.707621,1.439408,-12.090860,0
2021-02-24,sh.600020,3.2400,3.2800,3.2200,3.2500,5899987,19190544.3100,3,0.262500,1,0.308600,28.076052,0.709805,1.443850,-12.128178,0
2021-02-25,sh.600020,3.2600,3.3000,3.2500,3.2900,8245589,27074816.5100,3,0.366900,1,1.230800,28.421603,0.718541,1.461621,-12.277448,0
2021-02-26,sh.600020,3.2600,3.2900,3.2400,3.2600,5534720,18025297.0000,3,0.246300,1,-0.911900,28.162440,0.711989,1.448293,-12.165495,0
