date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600023,3.5100,3.5100,3.4500,3.4700,16871247,58595967.8500,3,0.124000,1,-0.857100,8.034369,0.715026,0.914408,24.759080,0
2021-02-02,sh.600023,3.4600,3.4800,3.4600,3.4700,8915967,30912011.0200,3,0.065600,1,0.000000,8.034369,0.715026,0.914408,24.759080,0
2021-02-03,sh.600023,3.4700,3.4700,3.4200,3.4200,16553115,56858295.8400,3,0.121700,1,-1.440900,7.918600,0.704723,0.901232,24.402321,0
2021-02-04,sh.600023,3.4100,3.4300,3.3800,3.4000,11121000,37866067.3600,3,0.081800,1,-0.584800,7.872292,0.700602,0.895962,24.259617,0
2021-02-05,sh.600023,3.4000,3.4500,3.4000,3.4300,10766860,36924172.1900,3,0.079200,1,0.882400,7.941753,0.706784,0.903867,24.473672,0
2021-02-08,sh.600023,3.4400,3.4700,3.4200,3.4400,25128442,86406026.2800,3,0.184800,1,0.291500,7.964907,0.708844,0.906502,24.545024,0
2021-02-09,sh.600023,3.4400,3.4600,3.4200,3.4400,10461931,35952776.4400,3,0.076900,1,0.000000,7.964907,0.708844,0.906502,24.545024,0
2021-02-10,sh.600023,3.4500,3.4700,3.4400,3.4700,10443741,36102312.4400,3,0.076800,1,0.872100,8.034369,0.715026,0.914408,24.759080,0
2021-02-18,sh.600023,3.4900,3.5000,3.4600,3.4700,37091055,128757692.3000,3,0.272700,1,0.000000,8.034369,0.715026,0.914408,24.759080,0
2021-02-19,sh.600023,3.4700,3.5300,3.4600,3.5200,22909452,80054630.5300,3,0.168400,1,1.440900,8.150138,0.725329,0.927584,25.115839,0
2021-02-22,sh.600023,3.5300,3.5900,3.5300,3.5600,29502017,105086540.9600,3,0.216900,1,1.136400,8.242753,0.733571,0.938125,25.401246,0
2021-02-23,sh.600023,3.5500,3.5700,3.5300,3.5400,14521500,51496230.3100,3,0.106800,1,-0.561800,8.196445,0.729450,0.932854,25.258542,0
2021-02-24,sh.600023,3.5400,3.5700,3.5200,3.5400,17570214,62278586.0200,3,0.129200,1,0.000000,8.196445,0.729450,0.932854,25.258542,0
2021-02-25,sh.600023,3.5500,3.5600,3.5200,3.5400,28573887,101157234.5200,3,0.210100,1,0.000000,8.196445,0.729450,0.932854,25.258542,0
2021-02-26,sh.600023,3.5300,3.5300,3.4900,3.5000,18956999,66479351.4700,3,0.139400,1,-1.129900,8.103830,0.721208,0.922313,24.973135,0
