date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600028,3.9400,3.9600,3.9100,3.9500,104645211,411283333.4000,3,0.109500,1,0.000000,12.645934,0.655849,0.209062,-271.106167,0
2021-02-02,sh.600028,3.9800,3.9900,3.9300,3.9400,108528883,429456323.1600,3,0.113600,1,-0.253200,12.613919,0.654189,0.208533,-270.419822,0
2021-02-03,sh.600028,3.9600,3.9700,3.9400,3.9700,69622498,275362477.8700,3,0.072900,1,0.761400,12.709964,0.659170,0.210121,-272.478856,0
2021-02-04,sh.600028,3.9600,3.9900,3.9500,3.9900,106503901,422462814.5800,3,0.111500,1,0.503800,12.773994,0.662490,0.211179,-273.851546,0
2021-02-05,sh.600028,3.9900,4.0000,3.9600,3.9600,82078848,326321345.4400,3,0.085900,1,-0.751900,12.677949,0.657509,0.209592,-271.792511,0
2021-02-08,sh.600028,3.9700,4.0100,3.9700,3.9900,103930222,414920638.8300,3,0.108800,1,0.757600,12.773994,0.662490,0.211179,-273.851546,0
2021-02-09,sh.600028,4.0000,4.1300,4.0000,4.1100,183498298,745712861.4700,3,0.192000,1,3.007500,13.158174,0.682415,0.217531,-282.087682,0
2021-02-10,sh.600028,4.1000,4.2200,4.1000,4.1700,259329795,1083697994.0800,3,0.271400,1,1.459900,13.350264,0.692377,0.220706,-286.205751,0
2021-02-18,sh.600028,4.4500,4.5800,4.4000,4.4800,838250528,3751471121.5500,3,0.877200,1,7.434100,14.342730,0.743849,0.237114,-307.482437,0
2021-02-19,sh.600028,4.4100,4.4300,4.3600,4.3700,334171856,1465969470.7100,3,0.349700,1,-2.455400,13.990565,0.725585,0.231292,-299.932645,0
2021-02-22,sh.600028,4.4100,4.7400,4.4100,4.6500,599923136,2759294173.7400,3,0.627800,1,6.407300,14.886985,0.772075,0.246111,-319.150298,0
2021-02-23,sh.600028,4.7600,4.8400,4.6600,4.7000,446068544,2113972749.1800,3,0.466800,1,1.075300,15.047060,0.780377,0.248758,-322.582021,0
2021-02-24,sh.600028,4.7200,4.7400,4.5200,4.5600,274553216,1270462312.1400,3,0.287300,1,-2.978700,14.598850,0.757132,0.241348,-312.973195,0
2021-02-25,sh.600028,4.6800,4.7400,4.6200,4.6600,223317053,1043955238.4200,3,0.233700,1,2.193000,14.919000,0.773736,0.246641,-319.836642,0
2021-02-26,sh.600028,4.5100,4.5800,4.4700,4.5100,298757776,1352270403.7200,3,0.312600,1,-3.218900,14.438775,0.748830,0.238702,-309.541471,0
