date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600033,2.5100,2.5200,2.5000,2.5100,2779452,6961507.0000,3,0.101300,1,0.000000,16.730388,0.712007,2.954105,-16.656635,0
2021-02-02,sh.600033,2.5000,2.5200,2.5000,2.5000,2108168,5283995.0000,3,0.076800,1,-0.398400,16.663733,0.709170,2.942335,-16.590274,0
2021-02-03,sh.600033,2.5100,2.5200,2.5000,2.5100,3758054,9442211.0400,3,0.136900,1,0.400000,16.730388,0.712007,2.954105,-16.656635,0
2021-02-04,sh.600033,2.5100,2.5200,2.4600,2.4700,4533530,11262691.1000,3,0.165200,1,-1.593600,16.463768,0.700660,2.907027,-16.391191,0
2021-02-05,sh.600033,2.4600,2.5000,2.4600,2.4900,2737950,6807294.0000,3,0.099800,1,0.809700,16.597078,0.706334,2.930566,-16.523913,0
2021-02-08,sh.600033,2.5000,2.5300,2.4900,2.5300,2984020,7504795.9000,3,0.108700,1,1.606400,16.863698,0.717681,2.977643,-16.789357,0
2021-02-09,sh.600033,2.5300,2.5600,2.5200,2.5500,2719954,6907429.4200,3,0.099100,1,0.790500,16.997007,0.723354,3.001182,-16.922079,0
2021-02-10,sh.600033,2.5600,2.5700,2.5400,2.5700,3049147,7792489.6800,3,0.111100,1,0.784300,17.130317,0.729027,3.024721,-17.054801,0
2021-02-18,sh.600033,2.5600,2.5900,2.5600,2.5700,3456549,8900126.9300,3,0.125900,1,0.000000,17.130317,0.729027,3.024721,-17.054801,0
2021-02-19,sh.600033,2.5700,2.6100,2.5700,2.6000,4498187,11676569.4500,3,0.163900,1,1.167300,17.330282,0.737537,3.060029,-17.253885,0
2021-02-22,sh.600033,2.6100,2.6400,2.6000,2.6200,9096229,23826078.0900,3,0.331400,1,0.769200,17.463592,0.743211,3.083567,-17.386607,0
2021-02-23,sh.600033,2.6200,2.6300,2.6100,2.6100,3934901,10306182.6100,3,0.143400,1,-0.381700,17.396937,0.740374,3.071798,-17.320246,0
2021-02-24,sh.600033,2.6100,2.6300,2.6000,2.6100,3650814,9546749.7700,3,0.133000,1,0.000000,17.396937,0.740374,3.071798,-17.320246,0
2021-02-25,sh.600033,2.6100,2.6300,2.6100,2.6300,5100618,13369859.6600,3,0.185900,1,0.766300,17.530247,0.746047,3.095337,-17.452968,0
2021-02-26,sh.600033,2.6200,2.6200,2.6000,2.6100,3290562,8593091.8000,3,0.119900,1,-0.760500,17.396937,0.740374,3.071798,-17.320246,0
