date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600037,8.5300,8.6300,8.2800,8.3500,15023245,126193626.5600,3,1.079400,1,-3.579700,44.591701,0.917674,4.331126,18.517880,0
2021-02-02,sh.600037,8.3200,8.4600,8.1400,8.4500,8052343,67539742.1700,3,0.578600,1,1.197600,45.125734,0.928664,4.382996,18.739651,0
2021-02-03,sh.600037,8.4400,8.5300,8.1800,8.1800,8861945,73586465.4300,3,0.636700,1,-3.195300,43.683846,0.898991,4.242947,18.140870,0
2021-02-04,sh.600037,8.1000,8.2300,7.9100,8.0500,11491937,92656605.3800,3,0.825700,1,-1.589200,42.989604,0.884703,4.175516,17.852567,0
2021-02-05,sh.600037,8.0000,8.1500,7.9600,8.0400,6457526,51901247.8100,3,0.464000,1,-0.124200,42.936201,0.883604,4.170329,17.830390,0
2021-02-08,sh.600037,8.0400,8.0500,7.8700,7.9800,6656964,53150591.6100,3,0.478300,1,-0.746300,42.615782,0.877010,4.139208,17.697327,0
2021-02-09,sh.600037,8.0200,8.1700,7.9800,8.1300,6923404,56033551.7600,3,0.497500,1,1.879700,43.416830,0.893495,4.217012,18.029984,0
2021-02-10,sh.600037,8.1200,8.2200,8.0900,8.1900,6871976,56148217.8200,3,0.493800,1,0.738000,43.737250,0.900090,4.248134,18.163047,0
2021-02-18,sh.600037,8.3500,8.3800,8.1600,8.2000,16176200,133076052.6100,3,1.162300,1,0.122100,43.790653,0.901189,4.253321,18.185224,0
2021-02-19,sh.600037,8.1600,8.5300,8.1400,8.5300,15979620,133666720.2500,3,1.148100,1,4.024400,45.552960,0.937456,4.424491,18.917068,0
2021-02-22,sh.600037,8.5100,8.8000,8.5000,8.6000,18723159,161773471.0500,3,1.345300,1,0.820600,45.926782,0.945149,4.460800,19.072308,0
2021-02-23,sh.600037,8.5700,8.6200,8.4600,8.4700,9276413,79127367.6300,3,0.666500,1,-1.511600,45.232540,0.930862,4.393369,18.784005,0
2021-02-24,sh.600037,8.4900,8.6700,8.4300,8.5000,9863600,84274913.3600,3,0.708700,1,0.354200,45.392750,0.934159,4.408930,18.850537,0
2021-02-25,sh.600037,8.5000,8.5700,8.4000,8.4200,8683594,73403150.7100,3,0.623900,1,-0.941200,44.965524,0.925367,4.367435,18.673120,0
2021-02-26,sh.600037,8.3700,8.4800,8.3100,8.3200,8287607,69309992.0200,3,0.595500,1,-1.187600,44.431492,0.914377,4.315565,18.451349,0
