date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600053,16.9700,17.4000,16.7100,17.3000,2620463,44748797.3600,3,0.604400,1,-1.029700,10.766070,2.733380,3.938619,-30.739304,0
2021-02-02,sh.600053,17.2600,17.5800,16.8900,17.0000,2473406,42116749.9000,3,0.570500,1,-1.734100,10.579375,2.685980,3.870319,-30.206252,0
2021-02-03,sh.600053,16.9500,17.1700,16.5100,16.6900,2913623,48872853.7100,3,0.672100,1,-1.823500,10.386457,2.637001,3.799742,-29.655432,0
2021-02-04,sh.600053,16.6900,16.6900,15.7800,16.0700,2845228,45859057.1500,3,0.656300,1,-3.714800,10.000621,2.539041,3.658590,-28.553793,0
2021-02-05,sh.600053,16.2000,16.9700,16.0700,16.1800,2545197,41968928.0100,3,0.587100,1,0.684500,10.069076,2.556421,3.683633,-28.749245,0
2021-02-08,sh.600053,16.3000,16.7000,16.1000,16.1700,2063669,33706096.1100,3,0.476000,1,-0.061800,10.062853,2.554841,3.681356,-28.731476,0
2021-02-09,sh.600053,16.1700,16.2900,15.6100,16.1600,2291000,36712469.8000,3,0.528400,1,-0.061800,10.056629,2.553261,3.679080,-28.713708,0
2021-02-10,sh.600053,16.1600,16.5800,16.0000,16.1000,2067235,33550004.9500,3,0.476800,1,-0.371300,10.019290,2.543781,3.665420,-28.607098,0
2021-02-18,sh.600053,16.2900,17.0800,16.2200,16.7300,2417138,40305628.1400,3,0.557500,1,3.913000,10.411350,2.643321,3.808849,-29.726506,0
2021-02-19,sh.600053,16.7300,17.9300,16.7300,17.8200,3397997,59320609.0800,3,0.783800,1,6.515200,11.089674,2.815539,4.057005,-31.663260,0
2021-02-22,sh.600053,17.8900,18.4900,17.8300,17.8300,4269509,77530219.6900,3,0.984800,1,0.056100,11.095897,2.817119,4.059281,-31.681028,0
2021-02-23,sh.600053,18.0500,18.4000,17.5000,17.6600,2847083,50959973.5100,3,0.656700,1,-0.953400,10.990104,2.790259,4.020578,-31.378966,0
2021-02-24,sh.600053,17.6600,18.0800,17.4000,17.6100,2553322,45355581.4600,3,0.588900,1,-0.283100,10.958988,2.782360,4.009195,-31.290124,0
2021-02-25,sh.600053,17.6600,17.8300,17.4600,17.5700,1826175,32137468.3300,3,0.421200,1,-0.227100,10.934095,2.776040,4.000088,-31.219050,0
2021-02-26,sh.600053,17.5500,17.7800,17.2200,17.6500,2382580,41794919.0800,3,0.549600,1,0.455300,10.983881,2.788679,4.018302,-31.361197,0
