date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600056,13.4800,13.7100,13.4500,13.6600,5006839,68213635.1600,3,0.468800,1,0.960800,11.670149,1.468599,0.369259,-20.148919,0
2021-02-02,sh.600056,13.6600,13.8100,13.6100,13.6800,5055559,69316392.7500,3,0.473300,1,0.146400,11.687235,1.470749,0.369799,-20.178420,0
2021-02-03,sh.600056,13.6400,13.6400,13.1200,13.2300,8411543,111771740.4000,3,0.787500,1,-3.289500,11.302787,1.422369,0.357635,-19.514656,0
2021-02-04,sh.600056,13.1500,13.3200,12.9200,13.0300,7184078,94150687.5300,3,0.672600,1,-1.511700,11.131921,1.400867,0.352229,-19.219650,0
2021-02-05,sh.600056,13.0400,13.2700,12.9900,13.0200,5281791,69255738.7600,3,0.494500,1,-0.076700,11.123378,1.399792,0.351958,-19.204900,0
2021-02-08,sh.600056,13.0400,13.1900,13.0400,13.1000,5417399,71141713.9000,3,0.507200,1,0.614400,11.191724,1.408392,0.354121,-19.322902,0
2021-02-09,sh.600056,13.0900,13.3700,13.0900,13.3300,6701146,88691850.4000,3,0.627400,1,1.755700,11.388220,1.433120,0.360338,-19.662159,0
2021-02-10,sh.600056,13.3400,13.4600,13.2200,13.3900,7971370,106169053.6000,3,0.746300,1,0.450100,11.439480,1.439571,0.361960,-19.750661,0
2021-02-18,sh.600056,13.5200,13.6000,13.4400,13.4800,7758804,104812365.1000,3,0.726400,1,0.672100,11.516369,1.449247,0.364393,-19.883414,0
2021-02-19,sh.600056,13.4800,13.7500,13.4300,13.7000,7643617,104035930.8600,3,0.715600,1,1.632000,11.704322,1.472899,0.370340,-20.207921,0
2021-02-22,sh.600056,13.7500,14.0400,13.7200,13.7600,11533718,160019564.1200,3,1.079800,1,0.438000,11.755582,1.479350,0.371962,-20.296422,0
2021-02-23,sh.600056,13.7700,13.9400,13.6800,13.8300,6853964,94655125.4100,3,0.641700,1,0.508700,11.815385,1.486875,0.373854,-20.399675,0
2021-02-24,sh.600056,13.8500,13.9000,13.6300,13.7600,7523607,103724886.5600,3,0.704400,1,-0.506100,11.755582,1.479350,0.371962,-20.296422,0
2021-02-25,sh.600056,13.7600,13.8600,13.6700,13.7600,6010302,82660769.1800,3,0.562700,1,0.000000,11.755582,1.479350,0.371962,-20.296422,0
2021-02-26,sh.600056,13.6000,14.1100,13.6000,13.8900,11806045,164361476.5200,3,1.105300,1,0.944800,11.866645,1.493326,0.375476,-20.488176,0
