date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600059,12.2800,12.6900,12.0800,12.0800,29354680,362299148.6800,3,3.630600,1,-2.502000,55.670908,2.329937,7.202687,98.034241,0
2021-02-02,sh.600059,12.2000,12.5200,11.7600,12.4000,38262382,467568364.5800,3,4.732400,1,2.649000,57.145634,2.391657,7.393487,100.631174,0
2021-02-03,sh.600059,12.3500,12.4800,11.9000,12.0000,27331540,330554620.4200,3,3.380400,1,-3.225800,55.302226,2.314507,7.154987,97.385007,0
2021-02-04,sh.600059,11.9600,12.4300,11.7100,11.9300,34484506,415858441.0200,3,4.265100,1,-0.583300,54.979630,2.301005,7.113250,96.816928,0
2021-02-05,sh.600059,11.8600,11.8600,11.3100,11.3100,32837628,379215476.2400,3,4.061400,1,-5.197000,52.122348,2.181422,6.743576,91.785369,0
2021-02-08,sh.600059,11.3300,11.5000,10.9600,11.0700,25071827,279624969.6600,3,3.100900,1,-2.122000,51.016304,2.135132,6.600476,89.837669,0
2021-02-09,sh.600059,11.2300,11.5800,11.0000,11.3900,25089523,283704495.6600,3,3.103100,1,2.890700,52.491030,2.196852,6.791276,92.434603,0
2021-02-10,sh.600059,11.4400,12.0000,11.4400,11.5800,29492019,343770003.6400,3,3.647600,1,1.668100,53.366648,2.233499,6.904563,93.976532,0
2021-02-18,sh.600059,11.7000,11.8300,11.3400,11.4600,26153439,302731246.3900,3,3.234700,1,-1.036300,52.813626,2.210354,6.833013,93.002682,0
2021-02-19,sh.600059,11.4500,12.6100,11.2500,12.6100,49399355,591268862.0400,3,6.109800,1,10.034900,58.113423,2.432161,7.518699,102.335412,0
2021-02-22,sh.600059,12.5000,12.5000,11.9200,12.0700,47494924,575320977.0800,3,5.874300,1,-4.282300,55.624823,2.328008,7.196725,97.953087,0
2021-02-23,sh.600059,11.9000,12.4700,11.8300,12.1500,37196309,454137579.7400,3,4.600500,1,0.662800,55.993504,2.343438,7.244425,98.602320,0
2021-02-24,sh.600059,11.9800,11.9900,11.4000,11.5300,33397434,388228014.7600,3,4.130700,1,-5.102900,53.136222,2.223855,6.874750,93.570761,0
2021-02-25,sh.600059,11.5900,11.6700,11.2900,11.6600,22128239,254179557.2900,3,2.736900,1,1.127500,53.735330,2.248929,6.952263,94.625766,0
2021-02-26,sh.600059,11.5400,12.1000,11.3300,11.7700,27514552,324248312.6000,3,3.403100,1,0.943400,54.242267,2.270145,7.017850,95.518461,0
