date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600060,12.7300,13.2200,12.7200,12.8500,30536295,395415218.6300,3,2.333700,1,1.181100,19.397761,1.124069,0.443159,-16.219740,0
2021-02-02,sh.600060,12.9000,13.4100,12.6300,13.3900,34484046,450444857.5000,3,2.635400,1,4.202300,20.212920,1.171306,0.461782,-16.901348,0
2021-02-03,sh.600060,13.2000,13.2900,12.9000,13.2200,27873377,365070602.2200,3,2.130200,1,-1.269600,19.956296,1.156435,0.455920,-16.686768,0
2021-02-04,sh.600060,13.0500,13.2400,12.4800,12.8500,29440778,376644855.3000,3,2.250000,1,-2.798800,19.397761,1.124069,0.443159,-16.219740,0
2021-02-05,sh.600060,12.6900,12.8200,12.2300,12.2300,24975921,312202041.5300,3,1.908800,1,-4.824900,18.461838,1.069834,0.421777,-15.437154,0
2021-02-08,sh.600060,12.3000,12.6500,12.1700,12.4000,17142276,212711011.4300,3,1.310100,1,1.390000,18.718462,1.084705,0.427640,-15.651734,0
2021-02-09,sh.600060,12.5000,12.6300,12.2100,12.4900,20278367,252553489.5400,3,1.549800,1,0.725800,18.854322,1.092578,0.430744,-15.765335,0
2021-02-10,sh.600060,12.4400,12.5400,12.0000,12.3000,27962401,342472752.0400,3,2.137000,1,-1.521200,18.567507,1.075957,0.424191,-15.525510,0
2021-02-18,sh.600060,12.5000,12.7400,12.2100,12.2300,27061554,335666157.8600,3,2.068200,1,-0.569100,18.461838,1.069834,0.421777,-15.437154,0
2021-02-19,sh.600060,12.2500,12.6300,12.1000,12.5700,34046972,424405958.1500,3,2.602000,1,2.780000,18.975086,1.099576,0.433503,-15.866314,0
2021-02-22,sh.600060,12.6400,13.0000,12.5700,12.6000,37816162,482930978.9800,3,2.890100,1,0.238700,19.020373,1.102200,0.434538,-15.904181,0
2021-02-23,sh.600060,12.4500,13.2000,12.3800,13.2000,44286031,573436630.1400,3,3.384500,1,4.761900,19.926105,1.154686,0.455230,-16.661523,0
2021-02-24,sh.600060,13.1600,13.1700,12.7100,12.7700,32536944,420039689.3600,3,2.486600,1,-3.257600,19.276997,1.117071,0.440400,-16.118762,0
2021-02-25,sh.600060,12.9800,13.3500,12.7900,13.0600,29605510,385526394.4700,3,2.262600,1,2.270900,19.714767,1.142439,0.450402,-16.484810,0
2021-02-26,sh.600060,12.7800,13.0000,12.5600,12.5600,24255770,309607329.3400,3,1.853700,1,-3.828500,18.959990,1.098701,0.433158,-15.853692,0
