date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600064,9.4500,9.5900,9.4500,9.5500,3151968,29982492.2400,3,0.255000,1,0.844800,5.390200,0.907002,2.865865,-6.727207,0
2021-02-02,sh.600064,9.5600,9.6600,9.5200,9.5400,4663614,44646780.0100,3,0.377300,1,-0.104700,5.384555,0.906053,2.862864,-6.720163,0
2021-02-03,sh.600064,9.5200,9.5400,9.3700,9.4100,4471596,42107093.0000,3,0.361800,1,-1.362700,5.311181,0.893706,2.823852,-6.628589,0
2021-02-04,sh.600064,9.3800,9.4200,9.2600,9.3400,4886355,45660230.1500,3,0.395300,1,-0.743900,5.271672,0.887058,2.802846,-6.579279,0
2021-02-05,sh.600064,9.3500,9.6100,9.3100,9.5000,6290264,59758736.7300,3,0.508900,1,1.713100,5.361979,0.902254,2.850860,-6.691986,0
2021-02-08,sh.600064,9.5000,9.6500,9.4000,9.6100,5545669,53091630.3300,3,0.448700,1,1.157900,5.424065,0.912701,2.883870,-6.769472,0
2021-02-09,sh.600064,9.5600,9.6500,9.5200,9.6200,4300848,41271120.1600,3,0.348000,1,0.104100,5.429709,0.913651,2.886871,-6.776517,0
2021-02-10,sh.600064,9.5900,9.6800,9.5600,9.6100,4238320,40701660.0800,3,0.342900,1,-0.104000,5.424065,0.912701,2.883870,-6.769472,0
2021-02-18,sh.600064,9.7100,9.7900,9.6700,9.7800,6598124,64270622.4300,3,0.533800,1,1.769000,5.520016,0.928846,2.934886,-6.889224,0
2021-02-19,sh.600064,9.7900,10.0600,9.7400,10.0200,9245417,91829308.6100,3,0.748000,1,2.454000,5.655476,0.951640,3.006907,-7.058285,0
2021-02-22,sh.600064,10.0300,10.2500,10.0300,10.0700,10166154,102992630.6500,3,0.822500,1,0.499000,5.683697,0.956389,3.021912,-7.093506,0
2021-02-23,sh.600064,10.0800,10.1400,9.9500,10.0300,5281782,53006186.6300,3,0.427300,1,-0.397200,5.661121,0.952590,3.009908,-7.065329,0
2021-02-24,sh.600064,10.0300,10.0600,9.8000,9.9200,7295262,72769467.2300,3,0.590300,1,-1.096700,5.599035,0.942143,2.976898,-6.987843,0
2021-02-25,sh.600064,9.9900,10.3300,9.9000,10.2100,16768843,171403867.0100,3,1.356700,1,2.923400,5.762716,0.969685,3.063925,-7.192124,0
2021-02-26,sh.600064,10.1100,10.1800,9.9600,10.0000,9392492,94398207.2400,3,0.759900,1,-2.056800,5.644188,0.949741,3.000906,-7.044196,0
