date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600067,3.3500,3.4700,3.3300,3.4300,4919250,16786611.7300,3,0.329700,1,2.083300,9.171728,0.628167,0.629850,-8.560994,0
2021-02-02,sh.600067,3.4300,3.4400,3.3700,3.3900,4345314,14720432.1100,3,0.291200,1,-1.166200,9.064769,0.620841,0.622505,-8.461157,0
2021-02-03,sh.600067,3.3900,3.4000,3.2800,3.3000,5368815,17775516.6200,3,0.359800,1,-2.654900,8.824111,0.604359,0.605979,-8.236525,0
2021-02-04,sh.600067,3.3200,3.3200,3.2200,3.2600,5369022,17500035.5200,3,0.359800,1,-1.212100,8.717153,0.597033,0.598633,-8.136688,0
2021-02-05,sh.600067,3.2500,3.3000,3.2100,3.2400,4102300,13345143.0400,3,0.274900,1,-0.613500,8.663673,0.593370,0.594961,-8.086770,0
2021-02-08,sh.600067,3.2500,3.3400,3.2100,3.3200,5761634,18974659.1000,3,0.386100,1,2.469100,8.877591,0.608021,0.609651,-8.286443,0
2021-02-09,sh.600067,3.3300,3.4100,3.3000,3.3200,4443890,14837191.5000,3,0.297800,1,0.000000,8.877591,0.608021,0.609651,-8.286443,0
2021-02-10,sh.600067,3.3200,3.3700,3.3000,3.3200,3541626,11771380.7800,3,0.237400,1,0.000000,8.877591,0.608021,0.609651,-8.286443,0
2021-02-18,sh.600067,3.3400,3.4700,3.3300,3.4600,7501512,25520175.4100,3,0.502700,1,4.216900,9.251947,0.633661,0.635359,-8.635871,0
2021-02-19,sh.600067,3.4600,3.5200,3.4200,3.5000,6040007,21007598.4700,3,0.404800,1,1.156100,9.358906,0.640986,0.642705,-8.735708,0
2021-02-22,sh.600067,3.5000,3.5900,3.4900,3.5300,9927250,35252599.9000,3,0.665300,1,0.857100,9.439125,0.646481,0.648213,-8.810585,0
2021-02-23,sh.600067,3.5300,3.6100,3.4800,3.5400,7962924,28212241.0200,3,0.533700,1,0.283300,9.465865,0.648312,0.650050,-8.835545,0
2021-02-24,sh.600067,3.5400,3.6000,3.5200,3.5500,6265531,22353524.0800,3,0.419900,1,0.282500,9.492605,0.650143,0.651886,-8.860504,0
2021-02-25,sh.600067,3.5600,3.6800,3.5500,3.6200,12125288,43876190.9300,3,0.812600,1,1.971800,9.679783,0.662963,0.664740,-9.035218,0
2021-02-26,sh.600067,3.5700,3.6400,3.4000,3.5800,8167781,29145758.2900,3,0.547400,1,-1.105000,9.572824,0.655638,0.657395,-8.935381,0
