date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600068,6.5000,6.5400,6.4600,6.5400,14467364,94141585.4700,3,0.314200,1,0.770400,6.329882,0.935238,0.268472,7.887132,0
2021-02-02,sh.600068,6.5600,6.6000,6.5200,6.5800,19202808,126184579.9500,3,0.417000,1,0.611600,6.368596,0.940958,0.270114,7.935372,0
2021-02-03,sh.600068,6.5700,6.5800,6.4900,6.4900,14940695,97280843.2600,3,0.324500,1,-1.367800,6.281488,0.928088,0.266419,7.826833,0
2021-02-04,sh.600068,6.4900,6.5200,6.3500,6.4000,23528351,150876350.2900,3,0.511000,1,-1.386700,6.194379,0.915218,0.262724,7.718295,0
2021-02-05,sh.600068,6.3800,6.5400,6.3800,6.5000,19035913,123065090.7700,3,0.413400,1,1.562500,6.291167,0.929518,0.266830,7.838893,0
2021-02-08,sh.600068,6.5000,6.6400,6.4700,6.5400,20615113,135129437.9100,3,0.447700,1,0.615400,6.329882,0.935238,0.268472,7.887132,0
2021-02-09,sh.600068,6.6600,6.6900,6.5800,6.6100,26273421,174045095.1700,3,0.570600,1,1.070300,6.397633,0.945248,0.271345,7.971551,0
2021-02-10,sh.600068,6.6100,6.6300,6.5800,6.5900,16000730,105558613.5600,3,0.347500,1,-0.302600,6.378275,0.942388,0.270524,7.947432,0
2021-02-18,sh.600068,6.6300,6.7600,6.6200,6.7000,38517784,257516562.2100,3,0.836500,1,1.669200,6.484741,0.958118,0.275040,8.080090,0
2021-02-19,sh.600068,6.7000,6.8800,6.6800,6.8600,47693770,325446854.4600,3,1.035700,1,2.388100,6.639601,0.980999,0.281608,8.273047,0
2021-02-22,sh.600068,6.9000,7.0600,6.8300,6.8600,65736252,456474281.4600,3,1.427600,1,0.000000,6.639601,0.980999,0.281608,8.273047,0
2021-02-23,sh.600068,6.8500,6.9500,6.7600,6.8000,36598255,250655170.9900,3,0.794800,1,-0.874600,6.581528,0.972419,0.279145,8.200688,0
2021-02-24,sh.600068,6.8000,6.8500,6.7200,6.7500,27412769,185641801.8300,3,0.595300,1,-0.735300,6.533135,0.965269,0.277092,8.140389,0
2021-02-25,sh.600068,6.7800,6.9500,6.7500,6.9200,44528528,306276445.8000,3,0.967000,1,2.518500,6.697673,0.989579,0.284071,8.345406,0
2021-02-26,sh.600068,6.8600,6.9000,6.7300,6.7500,42297007,287388069.7400,3,0.918500,1,-2.456600,6.533135,0.965269,0.277092,8.140389,0
