date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600070,7.0700,7.0700,7.0700,7.0700,3013000,21301910.0000,3,0.577300,1,-10.050900,7.771221,1.173876,1.207658,-29.421944,0
2021-02-02,sh.600070,6.4500,6.9400,6.4000,6.7300,28949920,191106645.9200,3,5.546500,1,-4.809100,7.397499,1.117424,1.149581,-28.007027,0
2021-02-03,sh.600070,6.6500,7.0300,6.6200,6.6300,13824222,93991161.4100,3,2.648600,1,-1.485900,7.287581,1.100820,1.132500,-27.590875,0
2021-02-04,sh.600070,6.5800,6.6900,6.2100,6.5500,13043609,83471639.7300,3,2.499000,1,-1.206600,7.199646,1.087537,1.118835,-27.257954,0
2021-02-05,sh.600070,6.6100,6.7700,6.2400,6.3500,8075330,51876160.7000,3,1.547200,1,-3.053400,6.979810,1.054330,1.084672,-26.425650,0
2021-02-08,sh.600070,6.3500,6.4400,6.2400,6.3400,5661424,36057525.5200,3,1.084700,1,-0.157500,6.968818,1.052670,1.082964,-26.384035,0
2021-02-09,sh.600070,6.3500,6.4100,6.2200,6.2500,5450600,34251114.8000,3,1.044300,1,-1.419600,6.869892,1.037726,1.067590,-26.009498,0
2021-02-10,sh.600070,6.3000,6.3400,6.1100,6.2100,7174762,44534176.0500,3,1.374600,1,-0.640000,6.825924,1.031085,1.060758,-25.843037,0
2021-02-18,sh.600070,6.2800,6.7900,6.2800,6.6400,11395572,75441191.3400,3,2.183300,1,6.924300,7.298573,1.102480,1.134208,-27.632491,0
2021-02-19,sh.600070,6.6700,7.2000,6.5900,7.1600,12109314,84176004.1000,3,2.320000,1,7.831300,7.870148,1.188819,1.223032,-29.796481,0
2021-02-22,sh.600070,7.1700,7.5400,7.1700,7.3100,12226369,90100931.7300,3,2.342500,1,2.095000,8.035025,1.213725,1.248654,-30.420709,0
2021-02-23,sh.600070,7.3100,7.4700,7.0900,7.1000,9112344,65647576.4600,3,1.745800,1,-2.872800,7.804197,1.178857,1.212783,-29.546790,0
2021-02-24,sh.600070,7.2000,7.4600,7.0800,7.1800,8847532,64085383.9800,3,1.695100,1,1.126800,7.892132,1.192140,1.226448,-29.879711,0
2021-02-25,sh.600070,7.2300,7.3000,7.0600,7.0800,5743538,40865708.0400,3,1.100400,1,-1.392800,7.782213,1.175536,1.209366,-29.463559,0
2021-02-26,sh.600070,7.0400,7.2000,6.9300,7.1000,5312895,37704963.0300,3,1.017900,1,0.282500,7.804197,1.178857,1.212783,-29.546790,0
