date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600071,15.2300,15.9300,14.9000,15.5900,5937210,91710352.6000,3,2.500200,1,2.363800,578.201918,8.854988,3.741676,48.605853,0
2021-02-02,sh.600071,15.3300,15.5800,14.9900,15.0400,5025399,76382513.9300,3,2.116200,1,-3.527900,557.803518,8.542592,3.609674,46.891086,0
2021-02-03,sh.600071,14.9800,15.6800,14.7100,15.0500,5524300,84842289.0000,3,2.326300,1,0.066500,558.174398,8.548272,3.612074,46.922263,0
2021-02-04,sh.600071,15.0500,15.1700,14.0400,14.2600,7216480,104271629.6600,3,3.038900,1,-5.249200,528.874878,8.099559,3.422470,44.459234,0
2021-02-05,sh.600071,14.2600,14.6000,13.8000,14.5000,5827801,82937955.1100,3,2.454100,1,1.683000,537.775998,8.235877,3.480071,45.207496,0
2021-02-08,sh.600071,14.4000,14.7200,13.0800,13.4700,7027824,95990638.4800,3,2.959400,1,-7.103400,499.575358,7.650846,3.232866,41.996205,0
2021-02-09,sh.600071,13.7500,14.4800,13.2700,14.2200,4939224,69671059.5200,3,2.079900,1,5.567900,527.391358,8.076839,3.412870,44.334524,0
2021-02-10,sh.600071,14.8500,14.8500,14.0400,14.5900,3903200,56593654.0000,3,1.643600,1,2.602000,541.113918,8.286996,3.501671,45.488094,0
2021-02-18,sh.600071,14.5400,14.9200,14.0000,14.5500,4095700,59370786.0000,3,1.724700,1,-0.274200,539.630398,8.264276,3.492071,45.363384,0
2021-02-19,sh.600071,14.6300,14.6300,14.1100,14.3600,3860203,55167236.9300,3,1.625500,1,-1.305800,532.583678,8.156358,3.446470,44.771010,0
2021-02-22,sh.600071,14.3500,15.8000,14.2600,15.8000,6416818,99392816.4200,3,2.702100,1,10.027900,585.990398,8.974266,3.792077,49.260582,0
2021-02-23,sh.600071,15.9100,16.9500,15.8000,16.6000,10837101,178103825.3400,3,4.563500,1,5.063300,615.660798,9.428659,3.984081,51.754789,0
2021-02-24,sh.600071,16.4000,16.9000,16.1100,16.3000,8766680,143832448.2600,3,3.691700,1,-1.807200,604.534398,9.258262,3.912080,50.819461,0
2021-02-25,sh.600071,16.3500,17.5000,16.3000,16.5500,9776206,164796878.4100,3,4.116800,1,1.533700,613.806398,9.400259,3.972081,51.598901,0
2021-02-26,sh.600071,16.3000,16.4200,15.1800,15.6200,8481205,132271459.7500,3,3.571400,1,-5.619300,579.314558,8.872027,3.748877,48.699385,0
