date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600073,8.9300,8.9300,8.6500,8.7600,13323572,116829296.9900,3,1.420800,1,-2.122900,19.620254,1.913839,0.347442,17.807576,0
2021-02-02,sh.600073,8.7900,8.9900,8.6800,8.9000,11415719,101267526.9600,3,1.217400,1,1.598200,19.933819,1.944426,0.352995,18.092172,0
2021-02-03,sh.600073,8.8800,8.9400,8.6500,8.6700,10900633,95601287.6300,3,1.162400,1,-2.584300,19.418676,1.894177,0.343873,17.624621,0
2021-02-04,sh.600073,8.6700,8.7200,8.2800,8.4100,13273905,112116181.7300,3,1.415500,1,-2.998800,18.836339,1.837373,0.333560,17.096086,0
2021-02-05,sh.600073,8.4100,8.6000,8.2300,8.2700,9907001,83410751.4900,3,1.056500,1,-1.664700,18.522774,1.806787,0.328008,16.811490,0
2021-02-08,sh.600073,8.2800,8.3900,8.1800,8.3500,7926652,65761993.0100,3,0.845300,1,0.967400,18.701954,1.824265,0.331181,16.974116,0
2021-02-09,sh.600073,8.3800,8.5300,8.2800,8.4800,7796179,65593772.9300,3,0.831400,1,1.556900,18.993122,1.852666,0.336337,17.238384,0
2021-02-10,sh.600073,8.4500,8.5400,8.4300,8.4800,6879389,58353400.4400,3,0.733600,1,0.000000,18.993122,1.852666,0.336337,17.238384,0
2021-02-18,sh.600073,8.5700,8.6900,8.5200,8.6400,9657975,83248896.2800,3,1.029900,1,1.886800,19.351483,1.887622,0.342683,17.563637,0
2021-02-19,sh.600073,8.6500,9.1400,8.6100,9.0900,15282411,136893393.8200,3,1.629700,1,5.208300,20.359373,1.985936,0.360531,18.478409,0
2021-02-22,sh.600073,9.0900,9.3500,9.0500,9.1300,17391781,160233556.6700,3,1.854700,1,0.440000,20.448963,1.994675,0.362117,18.559723,0
2021-02-23,sh.600073,9.2000,9.2100,8.8800,8.9200,10741179,96472180.3300,3,1.145400,1,-2.300100,19.978614,1.948795,0.353788,18.132829,0
2021-02-24,sh.600073,8.8800,8.9600,8.6800,8.8300,10144276,89612628.8800,3,1.081800,1,-1.009000,19.777036,1.929133,0.350219,17.949874,0
2021-02-25,sh.600073,8.8300,8.8500,8.6900,8.7000,9173242,80063190.1000,3,0.978200,1,-1.472300,19.485868,1.900731,0.345063,17.685606,0
2021-02-26,sh.600073,8.6000,8.6700,8.5500,8.6200,7666604,66060015.3000,3,0.817600,1,-0.919500,19.306688,1.883253,0.341890,17.522980,0
