date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600077,2.5800,2.6000,2.4700,2.5500,4573389,11613259.0500,3,0.341300,1,-1.923100,4.149755,0.746135,0.529434,-4.929205,0
2021-02-02,sh.600077,2.5600,2.6000,2.5300,2.5700,3506500,8995557.0000,3,0.261700,1,0.784300,4.182302,0.751988,0.533586,-4.967865,0
2021-02-03,sh.600077,2.5600,2.5600,2.3800,2.4400,8979620,22212033.2000,3,0.670100,1,-5.058400,3.970746,0.713949,0.506596,-4.716573,0
2021-02-04,sh.600077,2.4400,2.4400,2.3200,2.3500,8632600,20402492.0000,3,0.644200,1,-3.688500,3.824284,0.687615,0.487910,-4.542601,0
2021-02-05,sh.600077,2.3400,2.4500,2.3400,2.4000,5669200,13620636.0000,3,0.423000,1,2.127700,3.905652,0.702245,0.498291,-4.639252,0
2021-02-08,sh.600077,2.4000,2.4300,2.3800,2.4000,2669400,6417436.0000,3,0.199200,1,0.000000,3.905652,0.702245,0.498291,-4.639252,0
2021-02-09,sh.600077,2.4100,2.4600,2.3800,2.4600,5465811,13202823.9500,3,0.407900,1,2.500000,4.003293,0.719801,0.510748,-4.755233,0
2021-02-10,sh.600077,2.4500,2.4600,2.3900,2.3900,4740100,11433172.0000,3,0.353700,1,-2.845500,3.889378,0.699319,0.496215,-4.619922,0
2021-02-18,sh.600077,2.4100,2.4800,2.4000,2.4700,7343710,17958569.1400,3,0.548000,1,3.347300,4.019567,0.722727,0.512824,-4.774563,0
2021-02-19,sh.600077,2.4600,2.6100,2.4500,2.5900,9191871,23406047.7000,3,0.685900,1,4.858300,4.214849,0.757840,0.537739,-5.006526,0
2021-02-22,sh.600077,2.6000,2.7600,2.6000,2.6900,10960938,29579941.1000,3,0.817900,1,3.861000,4.377585,0.787100,0.558501,-5.199828,0
2021-02-23,sh.600077,2.7000,2.7000,2.6200,2.6400,5437600,14486948.0000,3,0.405800,1,-1.858700,4.296217,0.772470,0.548120,-5.103177,0
2021-02-24,sh.600077,2.6400,2.7100,2.6200,2.6600,5524100,14758309.0000,3,0.412200,1,0.757600,4.328764,0.778322,0.552272,-5.141837,0
2021-02-25,sh.600077,2.6800,2.7800,2.5900,2.7300,13039438,35453659.3600,3,0.973000,1,2.631600,4.442679,0.798804,0.566806,-5.277149,0
2021-02-26,sh.600077,2.7000,2.7000,2.6000,2.6300,8585188,22693101.9600,3,0.640600,1,-3.663000,4.279943,0.769544,0.546044,-5.083847,0
