date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-02-01,sh.600079,27.7300,27.7800,26.9800,27.1100,13763199,375204621.4800,3,1.016700,1,-0.550300,58.986570,4.196163,2.037051,39.251861,0
2021-02-02,sh.600079,27.1600,27.3500,25.8900,26.8900,27122976,723339081.9800,3,2.003600,1,-0.811500,58.507889,4.162111,2.020520,38.933329,0
2021-02-03,sh.600079,27.0100,27.9200,26.2200,26.7200,15378250,412383154.6500,3,1.136000,1,-0.632200,58.137999,4.135798,2.007746,38.687190,0
2021-02-04,sh.600079,26.8400,26.8700,26.0200,26.5000,12542996,331808600.1500,3,0.926600,1,-0.823400,57.659318,4.101746,1.991216,38.368658,0
2021-02-05,sh.600079,26.3000,26.8300,26.0000,26.0900,15324059,404248901.7200,3,1.132000,1,-1.547200,60.041117,4.271181,2.073469,39.953596,0
2021-02-08,sh.600079,26.4500,28.1000,26.4000,26.7800,19346690,528054517.6700,3,1.429200,1,2.644700,61.629020,4.384141,2.128306,41.010245,0
2021-02-09,sh.600079,27.0300,27.5500,26.4000,27.2800,11863406,320176054.1900,3,0.876400,1,1.867100,62.779673,4.465996,2.168043,41.775933,0
2021-02-10,sh.600079,27.4700,30.0100,27.2000,30.0100,24058361,697595365.8700,3,1.777200,1,10.007300,69.062243,4.912922,2.385006,45.956589,0
2021-02-18,sh.600079,30.5000,30.8400,29.5200,30.2600,26156982,788002304.9300,3,1.932300,1,0.833100,69.637570,4.953850,2.404874,46.339433,0
2021-02-19,sh.600079,30.3400,30.3400,28.0100,29.0500,20867431,602779621.0500,3,1.541500,1,-3.998700,66.852988,4.755761,2.308711,44.486468,0
2021-02-22,sh.600079,28.6700,29.4500,28.1800,28.3000,13352506,383236775.6900,3,0.986400,1,-2.581800,65.127007,4.632979,2.249106,43.337937,0
2021-02-23,sh.600079,28.0000,30.5800,27.8200,30.2000,22181665,655586654.2400,3,1.638600,1,6.713800,69.499492,4.944027,2.400106,46.247551,0
2021-02-24,sh.600079,30.2500,30.4500,28.6700,29.0600,12287695,358760313.0900,3,0.907700,1,-3.774800,66.876001,4.757398,2.309506,44.501782,0
2021-02-25,sh.600079,29.0600,29.9900,28.6800,29.1900,10964206,322390186.1000,3,0.809900,1,0.447400,67.175171,4.778681,2.319838,44.700861,0
2021-02-26,sh.600079,28.6800,30.3200,28.4300,29.7300,10485421,308676679.7300,3,0.774600,1,1.849900,68.417877,4.867084,2.362753,45.527804,0
